City/Town,Ward,Pct,"Suzanne M. Bump","Helen Brady","Daniel Fishman","Edward J. Stamas","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Green-rainbow
Abington,-,1,720,460,53,21,0,89,"1,343"
Abington,-,2,725,478,36,28,0,94,"1,361"
Abington,-,3,740,550,38,19,0,99,"1,446"
Abington,-,4,869,639,57,21,0,80,"1,666"
Abington,-,5,870,574,46,23,1,82,"1,596"
Acton,-,1,"1,143",437,68,28,0,90,"1,766"
Acton,-,2,"1,203",510,74,45,2,107,"1,941"
Acton,-,3,"1,211",430,105,57,0,115,"1,918"
Acton,-,4,"1,340",413,90,47,0,101,"1,991"
Acton,-,5,"1,243",417,91,56,0,96,"1,903"
Acton,-,6,"1,083",408,65,32,2,75,"1,665"
Acushnet,-,1,640,484,52,28,0,65,"1,269"
Acushnet,-,2,694,651,52,23,0,104,"1,524"
Acushnet,-,3,701,635,55,13,0,100,"1,504"
Adams,-,1,364,122,19,11,0,32,548
Adams,-,2,432,142,20,22,0,38,654
Adams,-,3,431,150,27,18,0,34,660
Adams,-,4,390,136,15,17,1,15,574
Adams,-,5,506,165,24,25,1,34,755
Agawam,-,1,600,499,39,42,1,72,"1,253"
Agawam,-,2,788,735,48,56,0,122,"1,749"
Agawam,-,3,727,547,41,58,0,85,"1,458"
Agawam,-,4,606,487,44,33,0,72,"1,242"
Agawam,-,5,855,697,56,53,0,99,"1,760"
Agawam,-,6,636,564,48,51,0,112,"1,411"
Agawam,-,7,704,651,41,37,0,108,"1,541"
Agawam,-,8,789,651,49,57,1,99,"1,646"
Alford,-,1,198,37,4,10,0,12,261
Amesbury,-,1,810,480,86,32,2,71,"1,481"
Amesbury,-,2,768,366,63,40,0,65,"1,302"
Amesbury,-,3,807,395,57,24,3,68,"1,354"
Amesbury,-,4,623,298,60,32,0,65,"1,078"
Amesbury,-,5,718,546,60,24,2,79,"1,429"
Amesbury,-,6,717,321,39,33,0,72,"1,182"
Amherst,-,1,681,46,38,68,1,41,875
Amherst,-,2,"1,024",101,31,69,1,79,"1,305"
Amherst,-,3,512,56,32,47,2,47,696
Amherst,-,4,516,53,21,24,0,47,661
Amherst,-,5,779,47,21,72,0,75,994
Amherst,-,6,"1,163",102,27,103,0,83,"1,478"
Amherst,-,7,"1,081",93,38,124,0,86,"1,422"
Amherst,-,8,"1,295",119,30,104,1,119,"1,668"
Amherst,-,9,926,58,37,104,0,86,"1,211"
Amherst,-,10,627,45,36,51,1,67,827
Andover,-,1,919,389,83,41,0,83,"1,515"
Andover,-,2,"1,047",651,87,35,1,124,"1,945"
Andover,-,3,"1,124",534,107,38,0,94,"1,897"
Andover,-,4,950,704,75,28,1,106,"1,864"
