City/Town,Ward,Pct,"Thomas H. Driscoll, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amesbury,-,1,"1,069",6,406,"1,481"
Amesbury,-,2,"1,001",2,299,"1,302"
Amesbury,-,3,"1,022",3,329,"1,354"
Amesbury,-,4,804,9,265,"1,078"
Amesbury,-,5,993,12,424,"1,429"
Amesbury,-,6,895,7,280,"1,182"
Andover,-,1,"1,162",8,345,"1,515"
Andover,-,2,"1,352",18,575,"1,945"
Andover,-,3,"1,413",16,468,"1,897"
Andover,-,4,"1,301",21,542,"1,864"
Andover,-,5,"1,386",26,533,"1,945"
Andover,-,6,"1,254",22,540,"1,816"
Andover,-,7,"1,024",8,432,"1,464"
Andover,-,7A,281,2,93,376
Andover,-,8,"1,285",29,528,"1,842"
Andover,-,9,"1,313",17,539,"1,869"
Beverly,1,1,"1,049",1,402,"1,452"
Beverly,1,2,"1,214",0,435,"1,649"
Beverly,2,1,"1,199",0,291,"1,490"
Beverly,2,2,"1,313",0,387,"1,700"
Beverly,3,1,"1,002",1,242,"1,245"
Beverly,3,2,"1,098",0,336,"1,434"
Beverly,4,1,806,0,260,"1,066"
Beverly,4,2,"1,553",0,441,"1,994"
Beverly,5,1,"1,197",1,419,"1,617"
Beverly,5,2,"1,181",1,459,"1,641"
Beverly,6,1,"1,298",1,506,"1,805"
Beverly,6,2,"1,377",1,502,"1,880"
Boxford,-,1,932,17,468,"1,417"
Boxford,-,2,"1,048",19,530,"1,597"
Boxford,-,3,925,18,513,"1,456"
Danvers,-,1,"1,228",19,385,"1,632"
Danvers,-,2,"1,169",29,430,"1,628"
Danvers,-,3,953,22,381,"1,356"
Danvers,-,4,"1,135",18,479,"1,632"
Danvers,-,5,"1,158",30,464,"1,652"
Danvers,-,6,"1,191",27,520,"1,738"
Danvers,-,7,"1,151",18,468,"1,637"
Danvers,-,8,"1,005",23,401,"1,429"
Essex,-,1,"1,518",2,522,"2,042"
Georgetown,-,1,"1,036",8,504,"1,548"
Georgetown,-,2,942,8,422,"1,372"
Georgetown,-,3,910,2,379,"1,291"
Gloucester,1,1,"1,236",11,412,"1,659"
Gloucester,1,2,967,10,330,"1,307"
Gloucester,2,1,757,15,187,959
Gloucester,2,2,786,12,191,989
Gloucester,3,1,869,12,255,"1,136"
Gloucester,3,2,961,14,269,"1,244"
Gloucester,4,1,"1,061",8,360,"1,429"
Gloucester,4,2,"1,417",18,372,"1,807"
Gloucester,5,1,"1,240",21,460,"1,721"
Gloucester,5,2,"1,201",16,434,"1,651"
Groveland,-,1,"1,173",30,520,"1,723"
Groveland,-,2,"1,167",32,570,"1,769"
Hamilton,-,1,"1,115",19,403,"1,537"
Hamilton,-,2,"1,077",12,387,"1,476"
Hamilton,-,3,807,13,286,"1,106"
Haverhill,1,1,505,8,128,641
Haverhill,1,2,803,22,195,"1,020"
Haverhill,1,3,630,17,207,854
Haverhill,2,1,732,0,231,963
Haverhill,2,2,747,9,312,"1,068"
Haverhill,2,3,509,9,131,649
Haverhill,3,1,445,8,64,517
Haverhill,3,2,600,10,147,757
Haverhill,3,3,639,18,194,851
Haverhill,4,1,826,14,444,"1,284"
Haverhill,4,2,995,34,518,"1,547"
Haverhill,4,3,917,17,400,"1,334"
Haverhill,5,1,906,16,328,"1,250"
Haverhill,5,2,955,21,429,"1,405"
Haverhill,5,3,"1,026",35,539,"1,600"
Haverhill,6,1,794,19,269,"1,082"
Haverhill,6,2,770,23,363,"1,156"
Haverhill,6,3,954,26,371,"1,351"
Haverhill,7,1,906,7,430,"1,343"
Haverhill,7,2,818,30,292,"1,140"
Haverhill,7,3,"1,007",24,473,"1,504"
Ipswich,-,1,"1,398",0,495,"1,893"
Ipswich,-,2,"1,497",0,594,"2,091"
Ipswich,-,3,"1,289",0,579,"1,868"
Ipswich,-,4,"1,401",0,565,"1,966"
Lawrence,A,1,627,12,79,718
Lawrence,A,2,416,5,60,481
Lawrence,A,3,545,21,88,654
Lawrence,A,4,579,7,68,654
Lawrence,B,1,614,6,115,735
Lawrence,B,2,440,8,61,509
Lawrence,B,3,481,6,93,580
Lawrence,B,4,656,13,133,802
Lawrence,C,1,429,5,59,493
Lawrence,C,2,659,18,112,789
Lawrence,C,3,423,2,52,477
Lawrence,C,4,534,6,90,630
Lawrence,D,1,564,5,110,679
Lawrence,D,2,495,12,61,568
Lawrence,D,3,384,5,84,473
Lawrence,D,4,386,6,64,456
Lawrence,E,1,861,17,231,"1,109"
Lawrence,E,2,813,22,182,"1,017"
Lawrence,E,3,495,13,76,584
Lawrence,E,4,569,5,97,671
Lawrence,F,1,676,18,172,866
Lawrence,F,2,454,5,63,522
Lawrence,F,3,458,7,74,539
Lawrence,F,4,479,6,58,543
Lynn,1,1,"1,028",20,521,"1,569"
Lynn,1,2,"1,134",26,488,"1,648"
Lynn,1,3,996,26,307,"1,329"
Lynn,1,4,914,24,291,"1,229"
Lynn,2,1,"1,145",23,392,"1,560"
Lynn,2,2,686,15,137,838
Lynn,2,3,476,9,98,583
Lynn,2,4,478,4,71,553
Lynn,3,1,808,10,232,"1,050"
Lynn,3,2,691,14,147,852
Lynn,3,3,745,23,166,934
Lynn,3,4,837,22,193,"1,052"
Lynn,4,1,306,4,44,354
Lynn,4,2,399,10,62,471
Lynn,4,3,561,13,112,686
Lynn,4,4,703,23,192,918
Lynn,5,1,735,8,192,935
Lynn,5,2,327,3,41,371
Lynn,5,3,404,7,73,484
Lynn,5,4,740,21,239,"1,000"
Lynn,6,1,517,7,120,644
Lynn,6,2,332,17,64,413
Lynn,6,3,487,14,129,630
Lynn,6,4,416,7,98,521
Lynn,7,1,"1,017",29,293,"1,339"
Lynn,7,2,899,20,225,"1,144"
Lynn,7,3,573,12,157,742
Lynn,7,4,669,16,171,856
Lynnfield,-,1,"1,052",0,580,"1,632"
Lynnfield,-,2,"1,106",0,536,"1,642"
Lynnfield,-,3,972,0,467,"1,439"
Lynnfield,-,4,"1,054",0,654,"1,708"
Manchester-by-the-Sea,-,1,"2,303",8,865,"3,176"
Marblehead,-,1,"1,472",5,535,"2,012"
Marblehead,-,2,"1,549",5,451,"2,005"
Marblehead,-,3,"1,346",3,431,"1,780"
Marblehead,-,4,"1,420",7,536,"1,963"
Marblehead,-,5,"1,439",4,473,"1,916"
Marblehead,-,6,"1,423",3,519,"1,945"
Merrimac,-,1,"1,229",14,470,"1,713"
Merrimac,-,2,"1,204",12,499,"1,715"
Methuen,-,1,"1,080",28,372,"1,480"
Methuen,-,2,610,7,99,716
Methuen,-,3,"1,020",24,328,"1,372"
Methuen,-,4,"1,069",17,312,"1,398"
Methuen,-,5,911,16,247,"1,174"
Methuen,-,6,"1,072",21,313,"1,406"
Methuen,-,7,"1,134",25,431,"1,590"
Methuen,-,8,"1,334",40,672,"2,046"
Methuen,-,9,"1,124",25,519,"1,668"
Methuen,-,10,"1,076",26,345,"1,447"
Methuen,-,11,"1,279",37,605,"1,921"
Methuen,-,12,"1,076",32,491,"1,599"
Middleton,-,1,"1,389",0,715,"2,104"
Middleton,-,2,"1,407",0,796,"2,203"
Nahant,-,1,"1,569",11,521,"2,101"
Newbury,-,1,"1,425",19,619,"2,063"
Newbury,-,2,"1,451",22,608,"2,081"
Newburyport,1,1,"1,017",0,347,"1,364"
Newburyport,2,1,"1,410",0,321,"1,731"
Newburyport,3,1,"1,268",0,415,"1,683"
Newburyport,4,1,"1,439",0,498,"1,937"
Newburyport,5,1,"1,056",0,462,"1,518"
Newburyport,6,1,"1,145",0,480,"1,625"
Newburyport,1,P,299,0,140,439
"N. Andover",-,1,"1,126",0,365,"1,491"
"N. Andover",-,2,"1,269",0,462,"1,731"
"N. Andover",-,3,"1,132",0,410,"1,542"
"N. Andover",-,4,"1,394",0,552,"1,946"
"N. Andover",-,5,881,0,320,"1,201"
"N. Andover",-,6,"1,179",0,695,"1,874"
"N. Andover",-,7,"1,248",0,494,"1,742"
"N. Andover",-,8,"1,255",0,606,"1,861"
Peabody,1,1,980,17,299,"1,296"
Peabody,1,2,"1,010",15,438,"1,463"
Peabody,1,3,"1,141",25,394,"1,560"
Peabody,2,1,686,14,143,843
Peabody,2,2,668,9,162,839
Peabody,2,3,841,7,269,"1,117"
Peabody,3,1,528,12,120,660
Peabody,3,2,759,12,203,974
Peabody,3,3,887,12,279,"1,178"
Peabody,4,1,907,15,320,"1,242"
Peabody,4,2,888,23,264,"1,175"
Peabody,4,3,552,7,196,755
Peabody,4,3A,909,3,364,"1,276"
Peabody,5,1,"1,014",22,413,"1,449"
Peabody,5,2,751,7,342,"1,100"
Peabody,5,3,925,19,385,"1,329"
Peabody,6,1,"1,006",23,496,"1,525"
Peabody,6,2,945,18,458,"1,421"
Peabody,6,3,982,18,461,"1,461"
Rockport,-,1,787,11,272,"1,070"
Rockport,-,2,"1,162",13,320,"1,495"
Rockport,-,3,"1,331",10,454,"1,795"
Rowley,-,1,"2,182",51,"1,038","3,271"
Salem,1,1,"1,297",11,348,"1,656"
Salem,1,2,604,5,97,706
Salem,2,1,"1,286",8,268,"1,562"
Salem,2,2,"1,427",9,292,"1,728"
Salem,3,1,929,2,247,"1,178"
Salem,3,2,978,12,229,"1,219"
Salem,4,1,"1,018",2,291,"1,311"
Salem,4,2,"1,081",14,290,"1,385"
Salem,5,1,"1,143",4,247,"1,394"
Salem,5,2,"1,004",5,163,"1,172"
Salem,6,1,"1,201",0,292,"1,493"
Salem,6,2,"1,094",9,253,"1,356"
Salem,7,1,"1,202",5,267,"1,474"
Salem,7,2,"1,024",20,283,"1,327"
Salisbury,-,1,"1,044",31,393,"1,468"
Salisbury,-,2,938,10,389,"1,337"
Salisbury,-,3,808,15,364,"1,187"
Saugus,-,1,686,0,390,"1,076"
Saugus,-,2,664,0,373,"1,037"
Saugus,-,3,716,0,417,"1,133"
Saugus,-,4,609,0,385,994
Saugus,-,5,790,0,527,"1,317"
Saugus,-,6,743,0,372,"1,115"
Saugus,-,7,691,0,567,"1,258"
Saugus,-,8,745,0,428,"1,173"
Saugus,-,9,759,0,506,"1,265"
Saugus,-,10,686,0,319,"1,005"
Swampscott,-,1,907,2,305,"1,214"
Swampscott,-,2,"1,097",3,287,"1,387"
Swampscott,-,3,927,4,217,"1,148"
Swampscott,-,4,"1,086",6,313,"1,405"
Swampscott,-,5,968,4,319,"1,291"
Swampscott,-,6,"1,113",12,323,"1,448"
Topsfield,-,1,"2,452",0,"1,162","3,614"
Wenham,-,1,"1,513",0,619,"2,132"
"W. Newbury",-,1,"1,832",8,805,"2,645"
TOTALS,,,"231,722","2,714","82,828","317,264"
