City/Town,Ward,Pct,"Susan K. Emond","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashfield,-,1,898,0,153,"1,051"
Bernardston,-,1,849,4,199,"1,052"
Buckland,-,1,804,8,164,976
Charlemont,-,1,450,0,143,593
Colrain,-,1,610,0,142,752
Conway,-,1,932,1,183,"1,116"
Deerfield,-,1,"2,164",20,469,"2,653"
Erving,-,1,541,8,102,651
Gill,-,1,670,0,127,797
Greenfield,-,1,643,1,165,809
Greenfield,-,2,852,0,206,"1,058"
Greenfield,-,3,716,0,158,874
Greenfield,-,4,800,0,154,954
Greenfield,-,5,759,1,132,892
Greenfield,-,6,739,0,143,882
Greenfield,-,7,548,2,121,671
Greenfield,-,8,558,1,104,663
Greenfield,-,9,493,1,119,613
Hawley,-,1,140,0,32,172
Heath,-,1,271,1,99,371
Leverett,-,1,"1,002",2,144,"1,148"
Leyden,-,1,356,0,77,433
Monroe,-,1,35,0,13,48
Montague,-,1,749,0,133,882
Montague,-,2,513,1,106,620
Montague,-,3,491,0,98,589
Montague,-,4,558,0,95,653
Montague,-,5,382,0,51,433
Montague,-,6,457,0,82,539
"New Salem",-,1,416,1,118,535
Northfield,-,1,"1,221",7,280,"1,508"
Orange,-,1,970,0,359,"1,329"
Orange,-,2,"1,009",0,327,"1,336"
Rowe,-,1,145,0,51,196
Shelburne,-,1,850,4,168,"1,022"
Shutesbury,-,1,997,0,150,"1,147"
Sunderland,-,1,"1,324",9,265,"1,598"
Warwick,-,1,351,0,67,418
Wendell,-,1,439,0,70,509
Whately,-,1,728,3,166,897
TOTALS,,,"27,430",75,"5,935","33,440"
