City/Town,Ward,Pct,"Robert S. Creedon, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Abington,-,1,985,4,354,"1,343"
Abington,-,2,978,3,380,"1,361"
Abington,-,3,"1,040",2,404,"1,446"
Abington,-,4,"1,193",11,462,"1,666"
Abington,-,5,"1,162",6,428,"1,596"
Bridgewater,-,1,"1,448",23,701,"2,172"
Bridgewater,-,2,"1,196",9,617,"1,822"
Bridgewater,-,3,"1,448",11,737,"2,196"
Bridgewater,-,4,654,7,283,944
Bridgewater,-,5,416,3,172,591
Bridgewater,-,6,967,6,302,"1,275"
Bridgewater,-,7,"1,151",4,461,"1,616"
Brockton,1,A,654,1,94,749
Brockton,1,B,922,3,215,"1,140"
Brockton,1,C,801,0,173,974
Brockton,1,D,"1,180",0,309,"1,489"
Brockton,2,A,500,0,76,576
Brockton,2,B,496,0,69,565
Brockton,2,C,457,1,67,525
Brockton,2,D,704,2,126,832
Brockton,3,A,738,0,125,863
Brockton,3,B,633,0,105,738
Brockton,3,C,"1,070",0,257,"1,327"
Brockton,3,D,"1,018",0,262,"1,280"
Brockton,4,A,438,1,64,503
Brockton,4,B,834,4,127,965
Brockton,4,C,854,4,204,"1,062"
Brockton,4,D,837,4,218,"1,059"
Brockton,5,A,636,4,103,743
Brockton,5,B,929,5,187,"1,121"
Brockton,5,C,832,2,138,972
Brockton,5,D,952,6,210,"1,168"
Brockton,6,A,673,6,120,799
Brockton,6,B,"1,021",3,245,"1,269"
Brockton,6,C,875,7,170,"1,052"
Brockton,6,D,964,4,278,"1,246"
Brockton,7,A,598,0,96,694
Brockton,7,B,908,0,132,"1,040"
Brockton,7,C,761,2,132,895
Brockton,7,D,850,1,193,"1,044"
Carver,-,1,"1,144",13,492,"1,649"
Carver,-,2,"1,092",15,477,"1,584"
Carver,-,3,"1,298",9,529,"1,836"
Duxbury,-,1,"1,092",19,486,"1,597"
Duxbury,-,2,988,22,482,"1,492"
Duxbury,-,3,966,16,398,"1,380"
Duxbury,-,4,963,13,404,"1,380"
Duxbury,-,5,"1,007",20,404,"1,431"
Duxbury,-,6,854,20,389,"1,263"
"E. Bridgewater",-,1,"1,062",0,542,"1,604"
"E. Bridgewater",-,2,"1,085",4,498,"1,587"
"E. Bridgewater",-,3,"1,210",3,590,"1,803"
"E. Bridgewater",-,4,"1,022",9,486,"1,517"
Halifax,-,1,"1,291",38,591,"1,920"
Halifax,-,2,"1,237",24,514,"1,775"
Hanover,-,1,"1,237",14,658,"1,909"
Hanover,-,2,"1,280",31,623,"1,934"
Hanover,-,3,"1,262",12,599,"1,873"
Hanover,-,4,"1,244",11,628,"1,883"
Hanson,-,1,"1,230",6,536,"1,772"
Hanson,-,2,"1,275",12,537,"1,824"
Hanson,-,3,"1,115",6,487,"1,608"
Hingham,-,1,"1,336",26,545,"1,907"
Hingham,-,2,"1,525",22,600,"2,147"
Hingham,-,3,"1,457",30,603,"2,090"
Hingham,-,4,"1,351",28,628,"2,007"
Hingham,-,5,972,20,465,"1,457"
Hingham,-,5A,720,3,284,"1,007"
Hingham,-,6,"1,349",32,601,"1,982"
Hull,-,1,"1,342",6,510,"1,858"
Hull,-,2,"1,117",5,473,"1,595"
Hull,-,3,"1,452",4,573,"2,029"
Kingston,-,1,"1,100",9,421,"1,530"
Kingston,-,2,"1,253",10,505,"1,768"
Kingston,-,3,"1,245",24,475,"1,744"
Kingston,-,4,"1,059",10,399,"1,468"
Lakeville,-,1,"1,102",16,609,"1,727"
Lakeville,-,2,"1,113",0,652,"1,765"
