City/Town,Ward,Pct,"Michael W. Morrissey","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"1,451",1,498,"1,950"
Bellingham,-,1,955,61,375,"1,391"
Bellingham,-,2,"1,082",29,432,"1,543"
Bellingham,-,3,"1,025",19,430,"1,474"
Bellingham,-,4,837,66,373,"1,276"
Bellingham,-,4A,110,13,44,167
Bellingham,-,5,954,50,381,"1,385"
Braintree,-,1A,989,10,400,"1,399"
Braintree,-,1B,914,16,384,"1,314"
Braintree,-,2A,"1,139",13,427,"1,579"
Braintree,-,2B,"1,050",9,432,"1,491"
Braintree,-,3A,924,12,272,"1,208"
Braintree,-,3B,993,12,325,"1,330"
Braintree,-,4A,918,19,293,"1,230"
Braintree,-,4B,953,16,266,"1,235"
Braintree,-,5A,"1,013",15,388,"1,416"
Braintree,-,5B,"1,163",19,417,"1,599"
Braintree,-,6A,"1,195",16,448,"1,659"
Braintree,-,6B,"1,171",21,395,"1,587"
Brookline,-,1,"1,282",5,268,"1,555"
Brookline,-,2,811,3,145,959
Brookline,-,3,"1,345",3,269,"1,617"
Brookline,-,4,"1,170",5,237,"1,412"
Brookline,-,5,"1,351",3,336,"1,690"
Brookline,-,6,"1,406",4,304,"1,714"
Brookline,-,7,"1,329",8,249,"1,586"
Brookline,-,8,"1,333",6,252,"1,591"
Brookline,-,9,"1,296",4,261,"1,561"
Brookline,-,10,"1,437",5,239,"1,681"
Brookline,-,11,"1,380",2,281,"1,663"
Brookline,-,12,"1,564",1,370,"1,935"
Brookline,-,13,"1,356",4,309,"1,669"
Brookline,-,14,"1,357",10,352,"1,719"
Brookline,-,15,"1,207",4,443,"1,654"
Brookline,-,16,"1,181",3,317,"1,501"
Canton,-,1,"1,242",8,416,"1,666"
Canton,-,2,"1,423",9,548,"1,980"
Canton,-,3,"1,261",16,444,"1,721"
Canton,-,4,"1,495",7,648,"2,150"
Canton,-,5,"1,386",2,510,"1,898"
Canton,-,6,"1,227",8,428,"1,663"
Cohasset,-,1,"1,465",11,641,"2,117"
Cohasset,-,2,"1,679",8,662,"2,349"
Dedham,-,1,"1,211",9,565,"1,785"
Dedham,-,2,"1,333",14,461,"1,808"
