City/Town,Ward,Pct,"Marian T. Ryan","Donna Patalano","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Acton,-,1,"1,443",0,5,318,"1,766"
Acton,-,2,"1,513",0,6,422,"1,941"
Acton,-,3,"1,520",0,8,390,"1,918"
Acton,-,4,"1,644",0,9,338,"1,991"
Acton,-,5,"1,525",0,4,374,"1,903"
Acton,-,6,"1,326",0,7,332,"1,665"
Arlington,-,1,691,0,3,145,839
Arlington,-,2,"1,012",0,4,227,"1,243"
Arlington,-,3,"1,056",0,1,170,"1,227"
Arlington,-,4,927,0,6,187,"1,120"
Arlington,-,5,932,0,5,179,"1,116"
Arlington,-,6,951,0,1,165,"1,117"
Arlington,-,7,864,0,3,170,"1,037"
Arlington,-,8,"1,012",0,6,253,"1,271"
Arlington,-,9,885,0,8,204,"1,097"
Arlington,-,10,"1,002",0,3,222,"1,227"
Arlington,-,11,"1,000",0,0,260,"1,260"
Arlington,-,12,"1,101",0,1,265,"1,367"
Arlington,-,13,892,0,8,275,"1,175"
Arlington,-,14,888,0,6,214,"1,108"
Arlington,-,15,999,0,2,226,"1,227"
Arlington,-,16,915,0,2,222,"1,139"
Arlington,-,17,860,0,4,169,"1,033"
Arlington,-,18,940,0,5,316,"1,261"
Arlington,-,19,966,0,2,234,"1,202"
Arlington,-,20,937,0,6,198,"1,141"
Arlington,-,21,956,0,3,195,"1,154"
Ashby,-,1,"1,064",0,0,539,"1,603"
Ashland,-,1,"1,163",0,0,344,"1,507"
Ashland,-,2,"1,245",0,0,416,"1,661"
Ashland,-,3,"1,181",0,0,351,"1,532"
Ashland,-,4,"1,128",0,0,367,"1,495"
Ashland,-,5,"1,239",0,0,385,"1,624"
Ayer,-,1,"1,249",0,26,380,"1,655"
Ayer,-,2,"1,307",0,35,415,"1,757"
Bedford,-,1,"1,430",0,25,436,"1,891"
Bedford,-,2,"1,235",0,22,418,"1,675"
Bedford,-,3,"1,326",0,19,420,"1,765"
Bedford,-,4,"1,154",0,19,422,"1,595"
Belmont,-,1,"1,314",0,3,338,"1,655"
Belmont,-,2,"1,279",0,26,429,"1,734"
Belmont,-,3,"1,233",0,15,330,"1,578"
Belmont,-,4,"1,117",0,16,263,"1,396"
Belmont,-,5,"1,232",0,8,312,"1,552"
Belmont,-,6,"1,333",0,21,326,"1,680"
Belmont,-,7,"1,319",0,13,276,"1,608"
Belmont,-,8,"1,335",0,9,444,"1,788"
Billerica,-,1,"1,213",0,31,430,"1,674"
Billerica,-,2,"1,286",0,30,442,"1,758"
Billerica,-,3,"1,157",0,38,456,"1,651"
Billerica,-,4,961,0,27,426,"1,414"
Billerica,-,5,"1,188",0,39,578,"1,805"
Billerica,-,6,"1,014",0,25,471,"1,510"
Billerica,-,7,"1,098",0,39,448,"1,585"
Billerica,-,8,"1,220",0,24,554,"1,798"
Billerica,-,9,"1,097",0,29,493,"1,619"
Billerica,-,10,"1,162",0,42,521,"1,725"
Billerica,-,11,"1,038",0,39,458,"1,535"
Boxborough,-,1,"2,093",0,0,658,"2,751"
Burlington,-,1,"1,251",0,30,577,"1,858"
