City/Town,Ward,Pct,"Robert L. Jubinville","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashland,-,1,"1,146",0,361,"1,507"
Ashland,-,2,"1,232",0,429,"1,661"
Ashland,-,3,"1,177",0,355,"1,532"
Ashland,-,4,"1,128",0,367,"1,495"
Ashland,-,5,"1,218",0,406,"1,624"
Attleboro,1,A,813,0,318,"1,131"
Attleboro,1,B,814,27,311,"1,152"
Attleboro,2,A,"1,068",30,430,"1,528"
Attleboro,2,B,"1,092",27,434,"1,553"
Attleboro,3,A,936,26,373,"1,335"
Attleboro,3,B,"1,006",25,402,"1,433"
Attleboro,4,A,788,16,260,"1,064"
Attleboro,4,B,"1,260",42,590,"1,892"
Attleboro,5,A,625,12,127,764
Attleboro,5,B,"1,013",22,369,"1,404"
Attleboro,6,A,833,35,351,"1,219"
Attleboro,6,B,"1,037",31,390,"1,458"
Avon,-,1,"1,386",0,564,"1,950"
Boston,18,9,744,25,211,980
Boston,18,10,"1,113",19,318,"1,450"
Boston,18,16,775,14,320,"1,109"
Boston,18,17,739,17,156,912
Boston,18,18,904,19,239,"1,162"
Boston,18,19,"1,188",19,305,"1,512"
Boston,18,20,994,18,351,"1,363"
Boston,18,23,660,5,98,763
Boston,19,10,895,5,224,"1,124"
Boston,19,11,775,7,114,896
Boston,19,12,696,9,142,847
Boston,19,13,570,8,109,687
Boston,20,1,745,12,262,"1,019"
Boston,20,2,824,18,203,"1,045"
Boston,20,3,744,26,295,"1,065"
Boston,20,4,699,13,245,957
Boston,20,5,671,17,333,"1,021"
Boston,20,6,852,10,357,"1,219"
Boston,20,7,583,9,208,800
Boston,20,8,658,6,186,850
Boston,20,9,667,12,216,895
Boston,20,10,911,26,375,"1,312"
Boston,20,11,438,11,177,626
Boston,20,12,465,9,270,744
Boston,20,13,536,5,203,744
Boston,20,14,477,12,237,726
Boston,20,15,864,18,309,"1,191"
Boston,20,16,856,29,376,"1,261"
Boston,20,17,944,28,475,"1,447"
Boston,20,18,497,9,212,718
Boston,20,19,476,8,255,739
Boston,20,20,889,22,322,"1,233"
Braintree,-,1A,911,14,474,"1,399"
Braintree,-,1B,858,17,439,"1,314"
Braintree,-,2A,"1,050",12,517,"1,579"
Braintree,-,2B,966,11,514,"1,491"
Canton,-,1,"1,212",10,444,"1,666"
Canton,-,2,"1,361",9,610,"1,980"
Canton,-,3,"1,231",17,473,"1,721"
Canton,-,4,"1,436",14,700,"2,150"
Canton,-,5,"1,336",2,560,"1,898"
Canton,-,6,"1,171",7,485,"1,663"
Dedham,-,1,"1,165",10,610,"1,785"
Dedham,-,2,"1,269",19,520,"1,808"
Dedham,-,3,"1,125",15,378,"1,518"
Dedham,-,4,"1,189",9,546,"1,744"
Dedham,-,5,"1,273",14,569,"1,856"
Dedham,-,6,"1,340",18,536,"1,894"
Dedham,-,7,"1,205",16,613,"1,834"
Dover,-,1,"2,028",39,"1,066","3,133"
"E. Bridgewater",-,4,968,13,536,"1,517"
Easton,-,3,"1,141",7,482,"1,630"
Easton,-,4,"1,268",11,680,"1,959"
Easton,-,5,"1,460",12,676,"2,148"
Easton,-,6,"1,239",17,626,"1,882"
Foxborough,-,1,"1,092",6,452,"1,550"
Foxborough,-,2,"1,209",6,601,"1,816"
Foxborough,-,3,"1,189",8,618,"1,815"
Foxborough,-,4,"1,169",7,579,"1,755"
Foxborough,-,5,"1,115",6,544,"1,665"
Framingham,-,1,"1,455",21,487,"1,963"
Framingham,-,2,"1,767",35,532,"2,334"
Framingham,-,3,"1,295",17,337,"1,649"
Framingham,-,4,"1,468",25,522,"2,015"
Framingham,-,5,"1,370",24,453,"1,847"
Framingham,-,6,"1,414",33,425,"1,872"
Framingham,-,7,"1,272",20,393,"1,685"
Framingham,-,8,"1,302",26,334,"1,662"
Framingham,-,9,921,15,247,"1,183"
Framingham,-,10,663,171,27,861
Framingham,-,11,"1,492",24,521,"2,037"
Framingham,-,12,704,21,195,920
Framingham,-,13,902,26,223,"1,151"
Framingham,-,14,582,15,122,719
Framingham,-,15,727,16,137,880
Framingham,-,16,361,6,53,420
Framingham,-,17,386,2,38,426
Framingham,-,18,625,13,128,766
Franklin,-,1,"1,192",32,556,"1,780"
Franklin,-,2,"1,212",32,589,"1,833"
Franklin,-,3,"1,243",41,526,"1,810"
Franklin,-,4,"1,333",39,707,"2,079"
Franklin,-,5,"1,406",41,597,"2,044"
Franklin,-,6,"1,168",18,470,"1,656"
Franklin,-,7,"1,314",27,656,"1,997"
Franklin,-,8,"1,296",39,633,"1,968"
Holliston,-,1,"1,513",21,568,"2,102"
Holliston,-,2,"1,441",17,502,"1,960"
Holliston,-,3,"1,327",26,440,"1,793"
Holliston,-,4,"1,260",20,460,"1,740"
Hopkinton,-,1,"1,643",7,568,"2,218"
Hopkinton,-,2,"1,387",8,557,"1,952"
Hopkinton,-,3,"1,368",6,566,"1,940"
Hopkinton,-,4,"1,402",2,497,"1,901"
Mansfield,-,1,"1,234",0,624,"1,858"
Mansfield,-,2,"1,295",1,604,"1,900"
Mansfield,-,3,"1,426",0,653,"2,079"
Mansfield,-,4,"1,258",0,526,"1,784"
Mansfield,-,5,"1,222",2,439,"1,663"
Mansfield,-,6,"1,220",0,413,"1,633"
Medfield,-,1,"1,214",5,475,"1,694"
Medfield,-,2,"1,159",10,461,"1,630"
Medfield,-,3,"1,177",14,493,"1,684"
Medfield,-,4,"1,138",9,505,"1,652"
Medway,-,1,992,27,488,"1,507"
Medway,-,2,"1,151",32,419,"1,602"
Medway,-,3,"1,133",34,477,"1,644"
Medway,-,4,"1,154",30,487,"1,671"
Millis,-,1,"1,018",8,391,"1,417"
Millis,-,2,991,9,459,"1,459"
Millis,-,3,"1,004",3,464,"1,471"
Milton,-,1,"1,183",8,233,"1,424"
Milton,-,2,"1,111",11,387,"1,509"
Milton,-,3,"1,085",13,482,"1,580"
Milton,-,4,"1,088",12,335,"1,435"
Milton,-,5,821,8,376,"1,205"
Milton,-,6,"1,074",10,459,"1,543"
Milton,-,7,966,9,404,"1,379"
Milton,-,8,"1,027",20,451,"1,498"
