City/Town,Ward,Pct,"Marilyn Petitto Devaney","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,1,"1,412",10,344,"1,766"
Acton,-,2,"1,468",10,463,"1,941"
Acton,-,3,"1,460",18,440,"1,918"
Acton,-,4,"1,617",10,364,"1,991"
Acton,-,5,"1,492",7,404,"1,903"
Acton,-,6,"1,290",11,364,"1,665"
Arlington,-,1,685,8,146,839
Arlington,-,2,974,2,267,"1,243"
Arlington,-,3,"1,036",5,186,"1,227"
Arlington,-,4,913,9,198,"1,120"
Arlington,-,5,892,6,218,"1,116"
Arlington,-,6,929,1,187,"1,117"
Arlington,-,7,829,4,204,"1,037"
Arlington,-,8,949,23,299,"1,271"
Arlington,-,9,864,9,224,"1,097"
Arlington,-,10,958,11,258,"1,227"
Arlington,-,11,948,6,306,"1,260"
Arlington,-,12,"1,039",6,322,"1,367"
Arlington,-,13,855,10,310,"1,175"
Arlington,-,14,832,5,271,"1,108"
Arlington,-,15,960,8,259,"1,227"
Arlington,-,16,874,3,262,"1,139"
Arlington,-,17,845,4,184,"1,033"
Arlington,-,18,906,15,340,"1,261"
Arlington,-,19,933,2,267,"1,202"
Arlington,-,20,904,8,229,"1,141"
Arlington,-,21,915,7,232,"1,154"
Ayer,-,1,"1,219",23,413,"1,655"
Ayer,-,2,"1,276",27,454,"1,757"
Bedford,-,1,"1,416",23,452,"1,891"
Bedford,-,2,"1,201",26,448,"1,675"
Bedford,-,3,"1,284",24,457,"1,765"
Bedford,-,4,"1,125",25,445,"1,595"
Belmont,-,1,"1,203",8,444,"1,655"
Belmont,-,2,"1,199",28,507,"1,734"
Belmont,-,3,"1,177",1,400,"1,578"
Belmont,-,4,"1,058",22,316,"1,396"
Belmont,-,5,"1,164",16,372,"1,552"
Belmont,-,6,"1,219",2,459,"1,680"
Belmont,-,7,"1,286",2,320,"1,608"
Belmont,-,8,"1,224",2,562,"1,788"
Billerica,-,1,"1,213",28,433,"1,674"
Billerica,-,2,"1,265",31,462,"1,758"
Billerica,-,3,"1,157",37,457,"1,651"
Billerica,-,4,942,33,439,"1,414"
Billerica,-,5,"1,184",38,583,"1,805"
Billerica,-,6,"1,012",31,467,"1,510"
Billerica,-,7,"1,085",38,462,"1,585"
Billerica,-,8,"1,190",31,577,"1,798"
Billerica,-,9,"1,066",32,521,"1,619"
Billerica,-,10,"1,139",43,543,"1,725"
Billerica,-,11,"1,016",37,482,"1,535"
Boston,4,2,"1,366",25,437,"1,828"
Boston,4,5,698,5,149,852
Boston,4,6,586,12,123,721
Boston,4,7,568,8,103,679
Boston,4,8,597,10,130,737
Boston,4,9,350,2,37,389
Boston,4,10,301,3,30,334
Boston,5,2,801,7,108,916
Boston,5,2A,490,6,72,568
Boston,5,6,814,16,343,"1,173"
Boston,5,7,"1,049",21,330,"1,400"
Boston,5,8,973,14,279,"1,266"
Boston,5,9,"1,320",26,323,"1,669"
Boston,5,10,779,19,150,948
Boston,21,1,884,12,126,"1,022"
Boston,21,2,286,0,25,311
Boston,21,3,594,10,62,666
Boston,21,5,844,9,94,947
Boston,21,8,931,13,109,"1,053"
Boston,21,9,816,10,145,971
Boston,21,10,747,8,128,883
Boston,21,11,884,14,123,"1,021"
Boston,21,12,806,19,143,968
Boston,21,13,869,18,309,"1,196"
Boston,21,14,600,9,73,682
Boston,21,15,712,6,79,797
Boston,21,16,754,16,179,949
Boston,22,3,930,21,197,"1,148"
Boston,22,4,669,11,170,850
Boston,22,6,591,8,102,701
Boston,22,7,855,16,164,"1,035"
Boston,22,8,521,23,173,717
Boston,22,9,645,18,163,826
Boston,22,10,785,24,162,971
Boston,22,11,505,14,145,664
Boston,22,12,491,11,137,639
Boston,22,13,514,11,125,650
Boxborough,-,1,"2,060",0,691,"2,751"
Brookline,-,1,"1,270",13,272,"1,555"
Brookline,-,2,797,10,152,959
Brookline,-,3,"1,332",10,275,"1,617"
Brookline,-,4,"1,163",12,237,"1,412"
Brookline,-,5,"1,313",3,374,"1,690"
Brookline,-,6,"1,371",14,329,"1,714"
Brookline,-,7,"1,315",11,260,"1,586"
Brookline,-,8,"1,288",19,284,"1,591"
Brookline,-,9,"1,282",9,270,"1,561"
Brookline,-,10,"1,408",8,265,"1,681"
Brookline,-,11,"1,353",5,305,"1,663"
Brookline,-,12,"1,529",25,381,"1,935"
Brookline,-,13,"1,330",11,328,"1,669"
Brookline,-,14,"1,329",17,373,"1,719"
Brookline,-,15,"1,182",6,466,"1,654"
Brookline,-,16,"1,155",5,341,"1,501"
Burlington,-,1,"1,237",33,588,"1,858"
Burlington,-,2,831,20,303,"1,154"
Burlington,-,3,"1,101",22,512,"1,635"
Burlington,-,4,"1,054",23,437,"1,514"
Burlington,-,5,"1,255",29,570,"1,854"
Burlington,-,6,"1,167",23,564,"1,754"
Burlington,-,7,"1,208",24,491,"1,723"
Carlisle,-,1,"2,220",9,760,"2,989"
Chelmsford,-,1,"1,315",29,545,"1,889"
Chelmsford,-,2,"1,232",13,422,"1,667"
Chelmsford,-,3,"1,274",16,562,"1,852"
Chelmsford,-,4,"1,184",9,526,"1,719"
Chelmsford,-,5,"1,269",20,568,"1,857"
Chelmsford,-,6,"1,389",13,610,"2,012"
Chelmsford,-,7,"1,408",14,693,"2,115"
Chelmsford,-,8,"1,304",14,594,"1,912"
Chelmsford,-,9,"1,386",10,636,"2,032"
Concord,-,1,"1,502",3,455,"1,960"
Concord,-,2,"1,859",22,537,"2,418"
Concord,-,3,"1,617",8,519,"2,144"
Concord,-,4,"1,707",12,522,"2,241"
Concord,-,5,"1,094",11,323,"1,428"
Harvard,-,1,"2,423",28,921,"3,372"
Hudson,-,1,"1,015",5,331,"1,351"
Hudson,-,2,807,4,236,"1,047"
Hudson,-,3,"1,008",24,347,"1,379"
Hudson,-,4,995,9,461,"1,465"
Hudson,-,5,"1,297",16,396,"1,709"
Hudson,-,6,722,17,236,975
Hudson,-,7,769,5,242,"1,016"
Lexington,-,1,"1,184",1,416,"1,601"
Lexington,-,2,"1,532",3,474,"2,009"
Lexington,-,3,"1,121",1,375,"1,497"
Lexington,-,4,"1,406",4,508,"1,918"
Lexington,-,5,"1,392",3,499,"1,894"
Lexington,-,6,"1,333",6,447,"1,786"
Lexington,-,7,"1,359",5,481,"1,845"
Lexington,-,8,"1,302",4,457,"1,763"
Lexington,-,9,"1,325",3,453,"1,781"
Lincoln,-,1,"1,699",23,482,"2,204"
Lincoln,-,2,"1,016",24,312,"1,352"
Littleton,-,1,"1,367",0,531,"1,898"
Littleton,-,2,"1,252",0,499,"1,751"
Littleton,-,3,"1,218",0,405,"1,623"
Marlborough,1,1,698,5,230,933
Marlborough,1,2,"1,034",9,448,"1,491"
Marlborough,2,1,823,5,320,"1,148"
Marlborough,2,2,729,1,204,934
Marlborough,3,1,539,3,190,732
Marlborough,3,2,"1,150",11,347,"1,508"
Marlborough,4,1,446,4,160,610
