City/Town,Ward,Pct,"Christopher A. Iannella, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Abington,-,1,957,7,379,"1,343"
Abington,-,2,956,3,402,"1,361"
Abington,-,3,"1,015",4,427,"1,446"
Abington,-,4,"1,192",10,464,"1,666"
Abington,-,5,"1,157",6,433,"1,596"
Boston,1,15,2,0,0,2
Boston,3,7,"1,995",20,367,"2,382"
Boston,4,1,"1,055",8,204,"1,267"
Boston,4,3,711,9,133,853
Boston,4,4,999,18,150,"1,167"
Boston,6,1,"2,714",56,535,"3,305"
Boston,6,2,654,15,146,815
Boston,6,3,926,13,201,"1,140"
Boston,6,4,916,14,211,"1,141"
Boston,6,5,867,17,196,"1,080"
Boston,6,6,737,9,204,950
Boston,6,7,854,15,208,"1,077"
Boston,6,8,737,16,211,964
Boston,6,9,653,13,234,900
Boston,7,1,677,7,199,883
Boston,7,2,898,19,193,"1,110"
Boston,7,3,989,14,256,"1,259"
Boston,7,4,756,17,192,965
Boston,7,5,775,7,138,920
Boston,7,6,643,15,126,784
Boston,7,7,411,6,77,494
Boston,7,8,575,8,109,692
Boston,7,9,546,16,112,674
Boston,7,10,452,7,98,557
Boston,8,1,599,12,82,693
Boston,8,2,"1,144",25,219,"1,388"
Boston,8,3,475,7,67,549
Boston,8,4,283,4,32,319
Boston,8,5,510,9,113,632
Boston,8,6,184,5,39,228
Boston,8,7,364,0,57,421
Boston,9,1,821,11,224,"1,056"
Boston,9,2,"1,193",9,179,"1,381"
Boston,9,3,"1,313",16,167,"1,496"
Boston,9,4,739,11,98,848
Boston,9,5,858,8,160,"1,026"
Boston,10,1,413,2,77,492
Boston,10,2,370,5,65,440
Boston,10,3,417,5,58,480
Boston,10,4,644,15,226,885
Boston,10,5,527,6,94,627
Boston,10,6,566,8,95,669
Boston,10,7,798,6,99,903
Boston,10,8,"1,020",16,135,"1,171"
Boston,10,9,"1,155",11,174,"1,340"
Boston,11,1,450,4,71,525
Boston,11,2,676,9,213,898
Boston,11,3,541,5,74,620
Boston,11,4,981,6,136,"1,123"
Boston,11,5,746,15,119,880
Boston,11,6,712,7,104,823
Boston,11,7,888,6,148,"1,042"
Boston,11,8,"1,137",13,137,"1,287"
Boston,11,9,652,7,113,772
Boston,11,10,813,3,136,952
Boston,12,1,707,8,132,847
Boston,12,2,837,12,115,964
Boston,12,3,417,4,61,482
Boston,12,4,453,5,64,522
Boston,12,5,305,6,49,360
Boston,12,6,395,6,62,463
Boston,12,7,775,7,117,899
Boston,12,8,326,3,51,380
Boston,12,9,420,5,71,496
Boston,13,1,527,6,94,627
Boston,13,2,222,2,20,244
Boston,13,3,533,6,99,638
Boston,13,4,411,3,55,469
Boston,13,5,434,13,88,535
Boston,13,6,652,9,93,754
Boston,13,7,685,19,161,865
Boston,13,8,574,14,124,712
Boston,13,9,639,12,124,775
Boston,13,10,867,17,284,"1,168"
Boston,14,1,887,6,97,990
Boston,14,2,955,10,122,"1,087"
Boston,14,3,459,1,51,511
Boston,14,4,536,3,50,589
Boston,14,5,393,2,55,450
Boston,14,6,408,3,67,478
Boston,14,7,429,4,49,482
Boston,14,8,524,6,81,611
Boston,14,9,431,6,53,490
Boston,14,10,488,10,77,575
Boston,14,11,478,6,56,540
Boston,14,12,282,1,51,334
Boston,14,13,452,3,47,502
Boston,14,14,501,5,83,589
Boston,15,1,556,5,96,657
Boston,15,2,367,5,50,422
Boston,15,3,248,5,38,291
Boston,15,4,738,16,137,891
Boston,15,5,479,4,60,543
Boston,15,6,253,20,107,380
Boston,15,7,402,4,84,490
Boston,15,8,357,9,81,447
Boston,15,9,374,6,104,484
Boston,16,1,397,13,113,523
Boston,16,2,414,11,101,526
Boston,16,3,608,7,139,754
Boston,16,4,532,14,123,669
Boston,16,5,651,11,136,798
Boston,16,6,728,9,216,953
Boston,16,7,620,15,188,823
