City/Town,Ward,Pct,"Michelle L. Laramee-Jenny","All Others",Blanks,"Total Votes Cast"
,,,Unenrolled
Alford,-,1,201,0,60,261
Egremont,-,1,607,1,185,793
"Great Barrington",-,A,668,1,198,867
"Great Barrington",-,B,685,4,180,869
"Great Barrington",-,C,492,7,126,625
"Great Barrington",-,D,655,3,218,876
Monterey,-,1,362,1,106,469
"Mount Washington",-,1,77,0,20,97
"New Marlborough",-,1,563,0,216,779
Sandisfield,-,1,263,0,111,374
Sheffield,-,1,"1,207",3,408,"1,618"
"W. Stockbridge",-,1,664,0,149,813
TOTALS,,,"6,444",20,"1,977","8,441"
