City/Town,Ward,Pct,"Scott A. Cote","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashfield,-,1,896,0,155,"1,051"
Bernardston,-,1,867,2,183,"1,052"
Buckland,-,1,819,7,150,976
Charlemont,-,1,457,0,136,593
Colrain,-,1,620,0,132,752
Conway,-,1,934,1,181,"1,116"
Deerfield,-,1,"2,175",18,460,"2,653"
Erving,-,1,546,7,98,651
Gill,-,1,673,2,122,797
Greenfield,-,1,650,1,158,809
Greenfield,-,2,855,0,203,"1,058"
Greenfield,-,3,721,0,153,874
Greenfield,-,4,796,0,158,954
Greenfield,-,5,763,0,129,892
Greenfield,-,6,725,1,156,882
Greenfield,-,7,543,2,126,671
Greenfield,-,8,547,0,116,663
Greenfield,-,9,490,0,123,613
Hawley,-,1,138,0,34,172
Heath,-,1,276,0,95,371
Leverett,-,1,994,2,152,"1,148"
Leyden,-,1,364,0,69,433
Monroe,-,1,36,0,12,48
Montague,-,1,757,0,125,882
Montague,-,2,507,1,112,620
Montague,-,3,503,0,86,589
Montague,-,4,551,0,102,653
Montague,-,5,374,1,58,433
Montague,-,6,458,0,81,539
"New Salem",-,1,417,1,117,535
Northfield,-,1,"1,229",8,271,"1,508"
Orange,-,1,964,0,365,"1,329"
Orange,-,2,"1,010",0,326,"1,336"
Rowe,-,1,147,0,49,196
Shelburne,-,1,858,5,159,"1,022"
Shutesbury,-,1,984,1,162,"1,147"
Sunderland,-,1,"1,334",10,254,"1,598"
Warwick,-,1,345,0,73,418
Wendell,-,1,441,0,68,509
Whately,-,1,722,0,175,897
TOTALS,,,"27,486",70,"5,884","33,440"
