City/Town,Ward,Pct,"Mary K. Olberding","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amherst,-,1,759,5,111,875
Amherst,-,2,"1,101",3,201,"1,305"
Amherst,-,3,602,7,87,696
Amherst,-,4,597,0,64,661
Amherst,-,5,853,3,138,994
Amherst,-,6,"1,274",6,198,"1,478"
Amherst,-,7,"1,227",9,186,"1,422"
Amherst,-,8,"1,410",5,253,"1,668"
Amherst,-,9,"1,006",11,194,"1,211"
Amherst,-,10,718,5,104,827
Belchertown,-,A,"1,340",4,424,"1,768"
Belchertown,-,B,"1,307",4,412,"1,723"
Belchertown,-,C,"1,385",6,464,"1,855"
Belchertown,-,D,"1,405",8,355,"1,768"
Chesterfield,-,1,512,0,145,657
Cummington,-,1,400,1,84,485
Easthampton,-,1,"1,262",10,302,"1,574"
Easthampton,-,2,"1,487",1,263,"1,751"
Easthampton,-,3,"1,315",8,264,"1,587"
Easthampton,-,4,"1,568",7,316,"1,891"
Easthampton,-,5,"1,390",6,408,"1,804"
Goshen,-,1,431,1,117,549
Granby,-,1,"1,193",1,464,"1,658"
Granby,-,2,953,1,477,"1,431"
Hadley,-,1,"2,236",25,520,"2,781"
Hatfield,-,1,"1,467",6,356,"1,829"
Huntington,-,1,644,1,307,952
Middlefield,-,1,200,61,0,261
Northampton,1,A,747,1,100,848
Northampton,1,B,"1,078",3,197,"1,278"
Northampton,2,A,"1,038",1,148,"1,187"
Northampton,2,B,647,0,69,716
Northampton,3,A,"1,059",2,154,"1,215"
Northampton,3,B,975,3,141,"1,119"
Northampton,4,A,761,0,92,853
Northampton,4,B,931,1,139,"1,071"
Northampton,5,A,845,4,145,994
Northampton,5,B,963,0,152,"1,115"
Northampton,6,A,911,1,178,"1,090"
Northampton,6,B,"1,053",4,219,"1,276"
Northampton,7,A,"1,036",4,184,"1,224"
Northampton,7,B,"1,022",4,227,"1,253"
Pelham,-,1,695,2,105,802
Plainfield,-,1,307,0,71,378
"S. Hadley",-,A,"1,229",20,324,"1,573"
"S. Hadley",-,B,"1,303",20,430,"1,753"
"S. Hadley",-,C,"1,226",17,437,"1,680"
"S. Hadley",-,D,835,8,228,"1,071"
"S. Hadley",-,E,"1,286",17,457,"1,760"
Southampton,-,1,"2,257",0,"1,007","3,264"
Ware,-,A,657,5,245,907
Ware,-,B,729,2,339,"1,070"
Ware,-,C,"1,021",3,470,"1,494"
Westhampton,-,1,785,1,221,"1,007"
Williamsburg,-,1,"1,308",1,248,"1,557"
Worthington,-,1,533,2,152,687
TOTALS,,,"57,279",331,"14,093","71,703"
