City/Town,Ward,Pct,"Richard P. Howe, Jr.","Karen M. Cassella","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Billerica,-,1,"1,056",369,6,243,"1,674"
Billerica,-,2,"1,112",404,10,232,"1,758"
Billerica,-,3,"1,025",385,3,238,"1,651"
Billerica,-,4,842,332,8,232,"1,414"
Billerica,-,5,"1,006",482,8,309,"1,805"
Billerica,-,6,890,371,6,243,"1,510"
Billerica,-,7,974,361,15,235,"1,585"
Billerica,-,8,"1,070",455,9,264,"1,798"
Billerica,-,9,964,367,9,279,"1,619"
Billerica,-,10,973,456,11,285,"1,725"
Billerica,-,11,919,388,6,222,"1,535"
Carlisle,-,1,"2,078",483,2,426,"2,989"
Chelmsford,-,1,"1,182",435,7,265,"1,889"
Chelmsford,-,2,"1,094",387,4,182,"1,667"
Chelmsford,-,3,"1,151",437,4,260,"1,852"
Chelmsford,-,4,"1,107",381,0,231,"1,719"
Chelmsford,-,5,"1,165",416,11,265,"1,857"
Chelmsford,-,6,"1,305",472,1,234,"2,012"
Chelmsford,-,7,"1,278",512,2,323,"2,115"
Chelmsford,-,8,"1,238",424,4,246,"1,912"
Chelmsford,-,9,"1,266",481,4,281,"2,032"
Dracut,-,1,803,350,0,111,"1,264"
Dracut,-,2,740,284,0,126,"1,150"
Dracut,-,3,888,401,0,178,"1,467"
Dracut,-,4,927,585,0,250,"1,762"
Dracut,-,5,868,421,0,161,"1,450"
Dracut,-,6,851,342,0,153,"1,346"
Dracut,-,6A,35,19,0,8,62
Dracut,-,7,755,368,0,173,"1,296"
Dracut,-,8,"1,115",625,0,247,"1,987"
Dracut,-,9,919,405,0,168,"1,492"
Dunstable,-,1,"1,042",425,0,270,"1,737"
Lowell,1,1,413,130,0,82,625
Lowell,1,2,866,835,0,126,"1,827"
Lowell,1,3,827,582,0,106,"1,515"
Lowell,2,1,335,60,0,60,455
Lowell,2,2,434,100,0,106,640
Lowell,2,3,984,175,0,136,"1,295"
Lowell,3,1,496,144,0,92,732
Lowell,3,2,392,88,0,97,577
Lowell,3,3,396,103,0,84,583
Lowell,4,1,544,148,0,175,867
Lowell,4,2,340,74,0,109,523
Lowell,4,3,352,104,0,99,555
Lowell,5,1,537,194,0,83,814
Lowell,5,2,382,134,0,68,584
Lowell,5,3,520,216,0,108,844
Lowell,6,1,646,286,0,110,"1,042"
Lowell,6,2,759,293,0,112,"1,164"
Lowell,6,3,594,249,0,114,957
Lowell,7,1,392,82,0,96,570
Lowell,7,2,455,109,0,74,638
Lowell,7,3,267,59,0,75,401
Lowell,8,1,507,131,0,102,740
Lowell,8,2,484,163,0,112,759
Lowell,8,3,892,340,0,122,"1,354"
Lowell,9,1,468,146,0,89,703
Lowell,9,2,647,262,0,114,"1,023"
Lowell,9,3,504,188,0,101,793
Lowell,10,1,493,171,0,97,761
Lowell,10,2,319,90,0,69,478
Lowell,10,3,259,83,0,44,386
Lowell,11,1,593,182,0,85,860
Lowell,11,2,572,291,0,123,986
Lowell,11,3,565,313,0,95,973
Tewksbury,-,1,934,442,8,229,"1,613"
Tewksbury,-,1A,"1,038",464,6,302,"1,810"
Tewksbury,-,2,967,441,8,271,"1,687"
Tewksbury,-,2A,842,389,9,270,"1,510"
Tewksbury,-,3,"1,132",533,4,314,"1,983"
Tewksbury,-,3A,"1,199",532,9,327,"2,067"
Tewksbury,-,4,"1,078",457,8,301,"1,844"
Tewksbury,-,4A,"1,097",434,10,282,"1,823"
Tyngsborough,-,1,755,353,0,195,"1,303"
Tyngsborough,-,2,786,369,0,176,"1,331"
Tyngsborough,-,3,846,322,0,201,"1,369"
Tyngsborough,-,4,896,352,0,238,"1,486"
Westford,-,1,"1,370",414,6,322,"2,112"
Westford,-,2,"1,404",382,9,246,"2,041"
Westford,-,3,"1,319",417,6,294,"2,036"
Westford,-,4,"1,331",366,8,276,"1,981"
Westford,-,5,"1,271",369,7,266,"1,913"
Westford,-,6,"1,159",381,6,235,"1,781"
Wilmington,-,1,"1,132",384,4,326,"1,846"
Wilmington,-,2,"1,071",401,11,337,"1,820"
Wilmington,-,3,"1,015",477,2,291,"1,785"
Wilmington,-,4,"1,178",456,12,337,"1,983"
Wilmington,-,5,"1,169",444,10,335,"1,958"
Wilmington,-,6,"1,140",427,15,320,"1,902"
TOTALS,,,"76,001","29,554",288,"17,296","123,139"
