City/Town,Ward,Pct,"Maria C. Curtatone","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,1,"1,429",6,331,"1,766"
Acton,-,2,"1,486",5,450,"1,941"
Acton,-,3,"1,502",10,406,"1,918"
Acton,-,4,"1,628",11,352,"1,991"
Acton,-,5,"1,504",2,397,"1,903"
Acton,-,6,"1,305",6,354,"1,665"
Arlington,-,1,680,3,156,839
Arlington,-,2,981,0,262,"1,243"
Arlington,-,3,"1,049",2,176,"1,227"
Arlington,-,4,926,3,191,"1,120"
Arlington,-,5,917,6,193,"1,116"
Arlington,-,6,915,1,201,"1,117"
Arlington,-,7,846,2,189,"1,037"
Arlington,-,8,983,9,279,"1,271"
Arlington,-,9,876,7,214,"1,097"
Arlington,-,10,982,5,240,"1,227"
Arlington,-,11,969,3,288,"1,260"
Arlington,-,12,"1,086",0,281,"1,367"
Arlington,-,13,871,10,294,"1,175"
Arlington,-,14,884,2,222,"1,108"
Arlington,-,15,979,2,246,"1,227"
Arlington,-,16,902,0,237,"1,139"
Arlington,-,17,846,5,182,"1,033"
Arlington,-,18,921,7,333,"1,261"
Arlington,-,19,949,2,251,"1,202"
Arlington,-,20,916,4,221,"1,141"
Arlington,-,21,934,3,217,"1,154"
Ashby,-,1,"1,048",0,555,"1,603"
Ashland,-,1,"1,141",0,366,"1,507"
Ashland,-,2,"1,240",0,421,"1,661"
Ashland,-,3,"1,180",0,352,"1,532"
Ashland,-,4,"1,132",0,363,"1,495"
Ashland,-,5,"1,236",0,388,"1,624"
Ayer,-,1,"1,229",17,409,"1,655"
Ayer,-,2,"1,283",13,461,"1,757"
Bedford,-,1,"1,414",24,453,"1,891"
Bedford,-,2,"1,203",24,448,"1,675"
Bedford,-,3,"1,311",15,439,"1,765"
Bedford,-,4,"1,139",17,439,"1,595"
Belmont,-,1,"1,244",4,407,"1,655"
Belmont,-,2,"1,209",25,500,"1,734"
Belmont,-,3,"1,199",15,364,"1,578"
Belmont,-,4,"1,076",15,305,"1,396"
Belmont,-,5,"1,201",11,340,"1,552"
Belmont,-,6,"1,275",19,386,"1,680"
Belmont,-,7,"1,300",15,293,"1,608"
Belmont,-,8,"1,251",11,526,"1,788"
Boxborough,-,1,"2,072",0,679,"2,751"
Burlington,-,1,"1,228",31,599,"1,858"
Burlington,-,2,828,21,305,"1,154"
Burlington,-,3,"1,090",27,518,"1,635"
Burlington,-,4,"1,051",25,438,"1,514"
Burlington,-,5,"1,245",29,580,"1,854"
Burlington,-,6,"1,174",20,560,"1,754"
Burlington,-,7,"1,220",23,480,"1,723"
Cambridge,1,1,"1,393",9,230,"1,632"
Cambridge,1,2,"1,079",11,200,"1,290"
Cambridge,1,3,"1,230",8,255,"1,493"
Cambridge,2,1,"1,046",3,155,"1,204"
Cambridge,2,2,396,2,53,451
Cambridge,2,3,651,7,120,778
Cambridge,3,1,"1,151",9,201,"1,361"
Cambridge,3,2,799,3,104,906
Cambridge,3,2A,560,2,98,660
Cambridge,3,3,"1,115",5,178,"1,298"
Cambridge,4,1,"1,395",8,208,"1,611"
Cambridge,4,2,"1,490",9,233,"1,732"
Cambridge,4,3,469,1,75,545
Cambridge,5,1,"1,340",6,206,"1,552"
Cambridge,5,2,"1,381",4,253,"1,638"
Cambridge,5,3,"1,050",2,182,"1,234"
Cambridge,6,1,"1,482",5,249,"1,736"
Cambridge,6,2,"1,300",7,234,"1,541"
Cambridge,6,3,"1,465",14,237,"1,716"
Cambridge,7,1,"1,431",6,220,"1,657"
Cambridge,7,2,756,11,124,891
Cambridge,7,3,438,3,52,493
Cambridge,8,1,991,11,151,"1,153"
Cambridge,8,2,"1,001",5,208,"1,214"
Cambridge,8,3,271,0,42,313
Cambridge,9,1,"1,651",7,359,"2,017"
Cambridge,9,2,"1,749",10,269,"2,028"
Cambridge,9,3,"1,414",7,236,"1,657"
Cambridge,10,1,"1,652",5,259,"1,916"
Cambridge,10,2,"1,638",5,279,"1,922"
Cambridge,10,3,"1,344",7,179,"1,530"
Cambridge,11,1,"1,280",3,151,"1,434"
Cambridge,11,2,"1,749",9,347,"2,105"
Cambridge,11,3,"1,411",9,262,"1,682"
Concord,-,1,"1,520",2,438,"1,960"
Concord,-,2,"1,883",20,515,"2,418"
Concord,-,3,"1,618",6,520,"2,144"
Concord,-,4,"1,733",8,500,"2,241"
Concord,-,5,"1,099",6,323,"1,428"
Everett,1,1,564,13,199,776
Everett,1,2,454,11,170,635
Everett,2,1,647,20,177,844
Everett,2,2,541,18,169,728
Everett,3,1,750,12,244,"1,006"
Everett,3,2,656,13,222,891
Everett,4,1,783,23,221,"1,027"
Everett,4,2,653,9,172,834
Everett,5,1,661,15,193,869
Everett,5,2,682,7,178,867
Everett,6,1,725,14,213,952
Everett,6,2,735,9,190,934
Framingham,-,1,"1,460",20,483,"1,963"
Framingham,-,2,"1,766",28,540,"2,334"
Framingham,-,3,"1,297",18,334,"1,649"
Framingham,-,4,"1,459",25,531,"2,015"
Framingham,-,5,"1,370",20,457,"1,847"
Framingham,-,6,"1,403",28,441,"1,872"
Framingham,-,7,"1,284",21,380,"1,685"
Framingham,-,8,"1,334",19,309,"1,662"
Framingham,-,9,914,20,249,"1,183"
Framingham,-,10,710,6,145,861
Framingham,-,11,"1,501",22,514,"2,037"
Framingham,-,12,708,17,195,920
Framingham,-,13,902,26,223,"1,151"
Framingham,-,14,578,11,130,719
Framingham,-,15,715,13,152,880
Framingham,-,16,358,3,59,420
Framingham,-,17,387,2,37,426
Framingham,-,18,625,10,131,766
Groton,-,1,"1,528",8,482,"2,018"
Groton,-,2,"1,390",9,510,"1,909"
Groton,-,3,"1,380",5,525,"1,910"
Holliston,-,1,"1,523",20,559,"2,102"
Holliston,-,2,"1,445",17,498,"1,960"
Holliston,-,3,"1,336",24,433,"1,793"
Holliston,-,4,"1,273",20,447,"1,740"
Hopkinton,-,1,"1,673",4,541,"2,218"
Hopkinton,-,2,"1,402",4,546,"1,952"
Hopkinton,-,3,"1,381",6,553,"1,940"
Hopkinton,-,4,"1,406",0,495,"1,901"
Hudson,-,1,"1,029",14,308,"1,351"
Hudson,-,2,811,11,225,"1,047"
Hudson,-,3,"1,007",4,368,"1,379"
Hudson,-,4,"1,028",3,434,"1,465"
Hudson,-,5,"1,312",4,393,"1,709"
Hudson,-,6,724,13,238,975
Hudson,-,7,790,9,217,"1,016"
Lexington,-,1,"1,201",0,400,"1,601"
Lexington,-,2,"1,534",1,474,"2,009"
Lexington,-,3,"1,175",0,322,"1,497"
Lexington,-,4,"1,422",13,483,"1,918"
Lexington,-,5,"1,401",4,489,"1,894"
Lexington,-,6,"1,340",4,442,"1,786"
Lexington,-,7,"1,366",4,475,"1,845"
Lexington,-,8,"1,296",1,466,"1,763"
Lexington,-,9,"1,351",2,428,"1,781"
Lincoln,-,1,"1,739",11,454,"2,204"
Lincoln,-,2,"1,031",15,306,"1,352"
Littleton,-,1,"1,371",0,527,"1,898"
Littleton,-,2,"1,252",0,499,"1,751"
Littleton,-,3,"1,217",0,406,"1,623"
Malden,1,1,698,19,127,844
Malden,1,2,875,30,236,"1,141"
Malden,2,1,762,11,164,937
Malden,2,2,836,27,224,"1,087"
Malden,3,1,"1,047",21,265,"1,333"
Malden,3,2,"1,138",27,356,"1,521"
Malden,4,1,734,16,161,911
Malden,4,2,626,15,139,780
Malden,5,1,865,27,176,"1,068"
Malden,5,2,"1,138",19,407,"1,564"
Malden,6,1,978,36,263,"1,277"
Malden,6,2,899,26,249,"1,174"
Malden,7,1,746,14,137,897
Malden,7,2,784,27,159,970
Malden,8,1,917,32,228,"1,177"
