City/Town,Ward,Pct,"Kathryn A. Toomey","Kate D. Campanale","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Athol,-,1,639,703,0,72,"1,414"
Athol,-,2,562,643,2,58,"1,265"
Athol,-,3,609,556,1,70,"1,236"
Auburn,-,1,764,795,0,76,"1,635"
Auburn,-,2,738,816,0,53,"1,607"
Auburn,-,3,722,843,0,70,"1,635"
Auburn,-,4,673,727,2,49,"1,451"
Auburn,-,5,668,693,0,55,"1,416"
Barre,-,1,599,548,1,58,"1,206"
Barre,-,2,435,576,1,57,"1,069"
Berlin,-,1,923,739,0,98,"1,760"
Blackstone,-,1,488,523,0,74,"1,085"
Blackstone,-,2,575,638,0,75,"1,288"
Blackstone,-,3,503,647,0,74,"1,224"
Bolton,-,1,"1,591","1,153",1,207,"2,952"
Boylston,-,1,"1,185","1,145",0,163,"2,493"
Brookfield,-,1,574,900,1,56,"1,531"
Charlton,-,1,517,819,2,70,"1,408"
Charlton,-,2,503,958,3,71,"1,535"
Charlton,-,3,535,897,0,64,"1,496"
Charlton,-,4,487,854,1,60,"1,402"
Clinton,-,1,825,605,0,101,"1,531"
Clinton,-,2,753,548,2,60,"1,363"
Clinton,-,3,730,609,1,53,"1,393"
Clinton,-,4,692,550,3,69,"1,314"
Douglas,-,1,475,845,0,76,"1,396"
Douglas,-,2,518,774,0,81,"1,373"
Douglas,-,3,455,695,0,52,"1,202"
Dudley,-,1,684,963,0,52,"1,699"
Dudley,-,2,498,824,0,40,"1,362"
Dudley,-,3,457,746,0,50,"1,253"
"E. Brookfield",-,1,371,637,0,25,"1,033"
Gardner,1,A,453,408,1,40,902
Gardner,1,B,151,180,0,21,352
Gardner,2,A,367,349,0,42,758
Gardner,2,B,390,449,0,55,894
Gardner,3,A,332,257,0,26,615
Gardner,3,B,445,342,1,39,827
Gardner,4,A,388,282,2,41,713
Gardner,4,B,243,167,0,19,429
Gardner,5,A,313,255,0,26,594
Gardner,5,B,415,426,0,51,892
Grafton,-,1,801,759,0,105,"1,665"
Grafton,-,2,839,792,0,113,"1,744"
Grafton,-,3,875,762,0,107,"1,744"
Grafton,-,4,713,635,0,84,"1,432"
Grafton,-,5,926,823,1,141,"1,891"
Hardwick,-,1,516,559,0,66,"1,141"
Harvard,-,1,"2,014",963,4,391,"3,372"
Holden,-,1,864,914,0,90,"1,868"
Holden,-,2,917,936,1,108,"1,962"
Holden,-,3,862,820,2,86,"1,770"
Holden,-,4,955,"1,037",0,114,"2,106"
Holden,-,5,955,986,0,102,"2,043"
Hopedale,-,1,"1,372","1,273",6,234,"2,885"
Hubbardston,-,1,927,"1,248",0,116,"2,291"
Lancaster,-,1,733,767,2,106,"1,608"
Lancaster,-,2,805,842,2,127,"1,776"
Leicester,-,1,399,769,1,65,"1,234"
Leicester,-,2,444,660,0,62,"1,166"
Leicester,-,3,385,680,1,67,"1,133"
Leicester,-,4,392,707,0,65,"1,164"
Mendon,-,1,"1,228","1,426",1,278,"2,933"
Milford,-,1,423,341,1,56,821
Milford,-,2,635,498,3,120,"1,256"
Milford,-,3,583,581,2,109,"1,275"
Milford,-,4,506,366,1,84,957
Milford,-,5,767,850,1,174,"1,792"
Milford,-,6,655,580,0,94,"1,329"
Milford,-,7,791,748,1,157,"1,697"
Milford,-,8,707,610,3,153,"1,473"
Millbury,-,1,641,671,2,87,"1,401"
Millbury,-,2,707,931,0,103,"1,741"
Millbury,-,3,592,724,0,86,"1,402"
Millbury,-,4,630,676,0,54,"1,360"
Millville,-,1,531,690,0,76,"1,297"
"New Braintree",-,1,225,277,0,22,524
"N. Brookfield",-,1,803,"1,173",0,86,"2,062"
Northborough,-,1,"1,048",778,4,120,"1,950"
Northborough,-,2,963,734,1,169,"1,867"
Northborough,-,3,"1,012",826,0,110,"1,948"
Northborough,-,4,989,829,0,169,"1,987"
Northbridge,-,1,722,858,0,117,"1,697"
Northbridge,-,2,713,890,0,115,"1,718"
Northbridge,-,3,602,805,0,76,"1,483"
Northbridge,-,4,776,"1,203",1,171,"2,151"
Oakham,-,1,363,558,0,42,963
Oxford,-,1,567,791,3,56,"1,417"
Oxford,-,2,550,744,1,39,"1,334"
Oxford,-,3,625,774,2,61,"1,462"
Oxford,-,4,516,723,1,62,"1,302"
Paxton,-,1,999,"1,147",0,162,"2,308"
Petersham,-,1,412,287,0,35,734
Phillipston,-,1,336,466,0,42,844
Princeton,-,1,975,891,1,193,"2,060"
Royalston,-,1,169,149,0,13,331
Royalston,-,2,98,117,0,18,233
Rutland,-,1,553,769,1,61,"1,384"
Rutland,-,2,591,751,1,78,"1,421"
Rutland,-,3,559,702,2,56,"1,319"
Shrewsbury,-,1,949,922,1,107,"1,979"
Shrewsbury,-,2,801,635,0,81,"1,517"
Shrewsbury,-,3,671,530,0,68,"1,269"
Shrewsbury,-,4,767,726,0,71,"1,564"
Shrewsbury,-,5,788,601,0,100,"1,489"
Shrewsbury,-,6,916,734,0,100,"1,750"
Shrewsbury,-,7,953,926,0,146,"2,025"
Shrewsbury,-,8,988,831,0,147,"1,966"
Shrewsbury,-,9,636,445,0,51,"1,132"
Shrewsbury,-,10,857,671,0,104,"1,632"
Southborough,-,1,913,752,0,125,"1,790"
Southborough,-,2,868,702,1,88,"1,659"
Southborough,-,3,886,731,1,112,"1,730"
Southbridge,-,1,491,403,1,59,954
Southbridge,-,2,433,319,0,40,792
Southbridge,-,3,480,465,0,46,991
Southbridge,-,4,608,648,2,82,"1,340"
Southbridge,-,5,384,228,1,37,650
Spencer,-,1,440,647,1,34,"1,122"
Spencer,-,2,396,577,0,61,"1,034"
Spencer,-,3,466,708,0,37,"1,211"
Spencer,-,4,507,639,0,55,"1,201"
Sterling,-,1,893,"1,058",2,124,"2,077"
Sterling,-,2,902,"1,184",4,165,"2,255"
Sturbridge,-,1,689,777,0,65,"1,531"
Sturbridge,-,2,684,943,1,56,"1,684"
Sturbridge,-,3,651,723,1,64,"1,439"
Sutton,-,1,654,943,0,108,"1,705"
Sutton,-,2,554,901,0,88,"1,543"
Sutton,-,3,592,760,1,97,"1,450"
Templeton,-,A,458,670,3,54,"1,185"
Templeton,-,B,421,613,2,52,"1,088"
Templeton,-,C,383,514,1,47,945
Upton,-,1,975,912,0,180,"2,067"
Upton,-,2,873,879,0,173,"1,925"
Uxbridge,-,1,670,864,0,101,"1,635"
Uxbridge,-,2,666,695,0,107,"1,468"
Uxbridge,-,3,580,794,0,84,"1,458"
Uxbridge,-,4,718,790,0,110,"1,618"
Warren,-,A,576,721,1,95,"1,393"
Warren,-,B,212,239,0,38,489
Webster,-,1,435,478,1,37,951
Webster,-,2,341,276,1,14,632
Webster,-,3,424,544,3,40,"1,011"
Webster,-,4,606,"1,004",3,64,"1,677"
Webster,-,5,541,646,0,46,"1,233"
"W. Boylston",-,1,794,714,2,78,"1,588"
"W. Boylston",-,2,"1,021","1,039",0,146,"2,206"
"W. Brookfield",-,1,773,917,0,69,"1,759"
