City/Town,Ward,Pct,"Brian W. Murray","Sandra Slattery E. Biagetti","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Hopedale,-,1,"1,498","1,295",3,89,"2,885"
Medway,-,1,796,624,1,86,"1,507"
Mendon,-,1,"1,452","1,370",0,111,"2,933"
Milford,-,1,482,312,1,26,821
Milford,-,2,700,512,3,41,"1,256"
Milford,-,3,700,531,2,42,"1,275"
Milford,-,4,568,347,1,41,957
Milford,-,5,957,771,1,63,"1,792"
Milford,-,6,761,525,1,42,"1,329"
Milford,-,7,921,718,1,57,"1,697"
Milford,-,8,838,561,2,72,"1,473"
TOTALS,,,"9,673","7,566",16,670,"17,925"
