City/Town,Ward,Pct,"Christopher Hendricks","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,936,31,302,"1,269"
Acushnet,-,2,"1,061",10,453,"1,524"
Acushnet,-,3,"1,095",10,399,"1,504"
"New Bedford",1,A,749,17,221,987
"New Bedford",1,B,640,11,213,864
"New Bedford",1,C,630,15,229,874
"New Bedford",2,A,159,5,23,187
"New Bedford",2,B,382,8,83,473
"New Bedford",2,C,283,11,85,379
"New Bedford",2,D,419,6,132,557
"New Bedford",2,E,604,9,145,758
"New Bedford",2,F,521,13,129,663
"New Bedford",3,B,331,4,49,384
"New Bedford",3,C,315,4,79,398
TOTALS,,,"8,125",154,"2,542","10,821"
