City/Town,Ward,Pct,"Bud L. Williams","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Springfield,2,H,556,16,122,694
Springfield,3,A,300,6,45,351
Springfield,4,A,487,13,82,582
Springfield,4,B,447,8,56,511
Springfield,4,C,349,6,30,385
Springfield,4,D,365,4,34,403
Springfield,4,E,325,7,17,349
Springfield,4,F,150,3,15,168
Springfield,4,G,515,11,52,578
Springfield,4,H,432,5,34,471
Springfield,5,A,464,10,64,538
Springfield,5,B,590,20,99,709
Springfield,5,E,695,15,98,808
Springfield,5,F,668,20,153,841
Springfield,6,E,356,7,66,429
Springfield,7,A,643,24,186,853
Springfield,8,C,533,17,85,635
TOTALS,,,"7,875",192,"1,238","9,305"
