City/Town,Ward,Pct,"Kay S. Khan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Newton,1,2,"1,118",13,186,"1,317"
Newton,1,3,"1,080",10,203,"1,293"
Newton,2,1,"1,060",16,282,"1,358"
Newton,2,2,760,4,190,954
Newton,2,3,"1,237",13,278,"1,528"
Newton,2,4,"1,216",14,283,"1,513"
Newton,3,1,"1,126",18,276,"1,420"
Newton,3,2,"1,161",7,282,"1,450"
Newton,3,3,"1,038",14,352,"1,404"
Newton,3,4,"1,047",17,284,"1,348"
Newton,4,1,992,18,270,"1,280"
Newton,4,2,"1,046",26,193,"1,265"
Newton,4,3,713,8,184,905
Newton,4,4,914,17,299,"1,230"
Newton,7,2,"1,268",16,313,"1,597"
TOTALS,,,"15,776",211,"3,875","19,862"
