City/Town,Ward,Pct,"Ruth B. Balser","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Newton,5,1,"1,024",24,246,"1,294"
Newton,5,2,"1,137",6,232,"1,375"
Newton,5,3,"1,346",11,286,"1,643"
Newton,5,4,"1,309",13,263,"1,585"
Newton,6,1,979,9,268,"1,256"
Newton,6,2,"1,197",14,224,"1,435"
Newton,6,3,"1,288",11,246,"1,545"
Newton,6,4,"1,306",10,266,"1,582"
Newton,7,1,913,21,264,"1,198"
Newton,7,3,361,3,64,428
Newton,7,4,530,3,145,678
Newton,8,1,"1,196",13,367,"1,576"
Newton,8,2,"1,053",26,298,"1,377"
Newton,8,3,"1,121",25,326,"1,472"
Newton,8,4,689,10,198,897
TOTALS,,,"15,449",199,"3,693","19,341"
