City/Town,Ward,Pct,"John H. Rogers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Norwood,-,1,"1,254",15,372,"1,641"
Norwood,-,2,"1,110",12,336,"1,458"
Norwood,-,3,"1,149",22,367,"1,538"
Norwood,-,4,"1,235",21,462,"1,718"
Norwood,-,5,902,17,236,"1,155"
Norwood,-,6,817,11,252,"1,080"
Norwood,-,7,984,16,336,"1,336"
Norwood,-,8,"1,219",15,373,"1,607"
Norwood,-,9,"1,193",23,406,"1,622"
Walpole,-,1,"1,097",6,376,"1,479"
Walpole,-,2,"1,143",12,466,"1,621"
Walpole,-,6,"1,122",12,460,"1,594"
Walpole,-,7,"1,127",4,480,"1,611"
TOTALS,,,"14,352",186,"4,922","19,460"
