City/Town,Ward,Pct,"Dan Cullinane","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,16,8,781,12,145,938
Boston,16,11,775,9,175,959
Boston,17,4,892,15,167,"1,074"
Boston,17,10,656,7,103,766
Boston,17,11,267,2,42,311
Boston,17,12,476,5,91,572
Boston,17,13,670,11,140,821
Boston,17,14,688,10,125,823
Boston,18,1,931,6,137,"1,074"
Boston,18,2,634,2,103,739
Boston,18,3,750,8,115,873
Boston,18,4,722,10,124,856
Boston,18,5,826,11,121,958
Boston,18,6,"1,038",17,157,"1,212"
Boston,18,21,865,10,125,"1,000"
Milton,-,1,"1,191",3,230,"1,424"
Milton,-,2,"1,158",11,340,"1,509"
TOTALS,,,"13,320",149,"2,440","15,909"
