City/Town,Ward,Pct,"Harold P. Naughton, Jr.","Stanley P. Marcinczyk, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Berlin,-,1,"1,291",349,3,117,"1,760"
Boylston,-,1,"1,695",525,0,273,"2,493"
Clinton,-,1,"1,109",324,5,93,"1,531"
Clinton,-,2,998,305,4,56,"1,363"
Clinton,-,3,959,317,9,108,"1,393"
Clinton,-,4,894,344,12,64,"1,314"
Lancaster,-,1,"1,041",447,0,120,"1,608"
Lancaster,-,2,"1,148",494,3,131,"1,776"
Northborough,-,2,"1,329",332,6,200,"1,867"
Northborough,-,4,"1,444",331,9,203,"1,987"
Sterling,-,2,"1,473",594,4,184,"2,255"
TOTALS,,,"13,381","4,362",55,"1,549","19,347"
