City/Town,Ward,Pct,"Christina A. Minicucci","Ryan R. Losco","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Haverhill,7,2,648,452,2,38,"1,140"
Lawrence,A,1,576,112,2,28,718
Lawrence,A,3,504,113,2,35,654
Lawrence,F,1,619,205,1,41,866
Methuen,-,3,818,505,4,45,"1,372"
Methuen,-,7,887,632,3,68,"1,590"
Methuen,-,10,892,501,1,53,"1,447"
"N. Andover",-,1,946,495,0,50,"1,491"
"N. Andover",-,2,"1,086",600,0,45,"1,731"
"N. Andover",-,3,914,575,0,53,"1,542"
"N. Andover",-,4,"1,163",726,0,57,"1,946"
"N. Andover",-,5,703,463,0,35,"1,201"
TOTALS,,,"9,756","5,379",15,548,"15,698"
