City/Town,Ward,Pct,"Alice Hanlon Peisch","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Wayland,-,4,"1,512",8,515,"2,035"
Wellesley,-,A,"1,414",8,400,"1,822"
Wellesley,-,B,"1,575",25,390,"1,990"
Wellesley,-,C,"1,250",13,560,"1,823"
Wellesley,-,D,"1,581",18,416,"2,015"
Wellesley,-,E,"1,261",14,393,"1,668"
Wellesley,-,F,889,4,235,"1,128"
Wellesley,-,G,810,2,157,969
Wellesley,-,H,"1,325",13,429,"1,767"
Weston,-,1,"1,088",21,385,"1,494"
Weston,-,2,960,16,370,"1,346"
Weston,-,3,948,12,357,"1,317"
Weston,-,4,"1,025",14,372,"1,411"
TOTALS,,,"15,638",168,"4,979","20,785"
