City/Town,Ward,Pct,"Nika Elugardo","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,10,1,395,3,94,492
Boston,10,2,367,5,68,440
Boston,10,3,406,5,69,480
Boston,10,4,637,16,232,885
Boston,10,5,539,12,76,627
Boston,10,6,580,6,83,669
Boston,10,7,799,10,94,903
Boston,10,8,"1,023",17,131,"1,171"
Boston,10,9,"1,174",13,153,"1,340"
Boston,19,1,951,10,72,"1,033"
Boston,19,2,882,39,264,"1,185"
Boston,19,3,744,6,100,850
Boston,19,4,"1,105",3,105,"1,213"
Boston,19,5,827,14,118,959
Boston,19,8,572,12,81,665
Boston,20,2,863,16,166,"1,045"
Boston,20,4,794,14,149,957
Brookline,-,5,"1,393",6,291,"1,690"
TOTALS,,,"14,051",207,"2,346","16,604"
