City/Town,Ward,Pct,"Roselee Vincent","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chelsea,3,2,403,0,82,485
Chelsea,3,4,327,0,99,426
Chelsea,4,2,381,0,162,543
Chelsea,4,3,394,0,142,536
Revere,1,3,561,6,151,718
Revere,3,1,555,12,203,770
Revere,4,1,565,11,221,797
Revere,4,2,508,8,190,706
Revere,4,3,642,14,225,881
Revere,5,1,519,13,212,744
Revere,5,1A,414,7,134,555
Revere,5,2,301,9,120,430
Revere,5,2A,240,2,59,301
Revere,6,1,684,23,277,984
Revere,6,2,700,18,311,"1,029"
Revere,6,3,511,12,137,660
Saugus,-,3,733,0,400,"1,133"
Saugus,-,10,689,0,316,"1,005"
TOTALS,,,"9,127",135,"3,441","12,703"
