City/Town,Ward,Pct,"David Henry Argosky Leboeuf","Paul J. Fullen","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Leicester,-,1,519,663,2,50,"1,234"
Leicester,-,2,547,586,2,31,"1,166"
Leicester,-,3,474,620,2,37,"1,133"
Leicester,-,4,509,603,1,51,"1,164"
Worcester,7,1,856,358,1,59,"1,274"
Worcester,7,2,535,248,1,23,807
Worcester,7,3,760,354,0,45,"1,159"
Worcester,7,4,658,424,2,37,"1,121"
Worcester,7,5,687,495,2,51,"1,235"
Worcester,8,2,369,95,0,11,475
Worcester,8,3,398,53,2,21,474
Worcester,8,4,496,163,2,27,688
TOTALS,,,"6,808","4,662",17,443,"11,930"
