City/Town,Ward,Pct,"Tram T. Nguyen","James J. Lyons, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Andover,-,1,"1,040",442,0,33,"1,515"
Andover,-,5,"1,101",806,0,38,"1,945"
Andover,-,6,983,801,0,32,"1,816"
Andover,-,7,872,563,0,29,"1,464"
Andover,-,7A,218,149,0,9,376
Andover,-,8,"1,133",674,1,34,"1,842"
Andover,-,9,"1,078",755,0,36,"1,869"
Boxford,-,1,728,652,1,36,"1,417"
"N. Andover",-,6,868,951,0,55,"1,874"
"N. Andover",-,7,942,761,0,39,"1,742"
"N. Andover",-,8,878,945,0,38,"1,861"
Tewksbury,-,3,921,992,2,68,"1,983"
Tewksbury,-,3A,901,"1,096",0,70,"2,067"
TOTALS,,,"11,663","9,587",4,517,"21,771"
