City/Town,Ward,Pct,"David Allen Robertson","Pina Prinzivalli","Patricia W M. Meuse","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Tewksbury,-,1,706,696,147,3,61,"1,613"
Tewksbury,-,1A,722,832,190,1,65,"1,810"
Tewksbury,-,2,768,685,187,1,46,"1,687"
Tewksbury,-,2A,629,606,219,2,54,"1,510"
Tewksbury,-,4,771,787,199,1,86,"1,844"
Tewksbury,-,4A,869,719,169,4,62,"1,823"
Wilmington,-,1,957,718,91,3,77,"1,846"
Wilmington,-,2,885,744,97,3,91,"1,820"
Wilmington,-,4,961,846,83,7,86,"1,983"
Wilmington,-,5,977,787,102,5,87,"1,958"
Wilmington,-,6,908,827,85,7,75,"1,902"
TOTALS,,,"9,153","8,247","1,569",37,790,"19,796"
