City/Town,Ward,Pct,"Robert A. DeLeo","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Revere,1,1,648,27,182,857
Revere,1,2,617,6,147,770
Revere,2,1,464,12,90,566
Revere,2,2,537,5,113,655
Revere,2,3,221,4,32,257
Revere,2,3A,85,3,23,111
Revere,3,2,568,13,148,729
Revere,3,3,552,12,145,709
Revere,5,3,646,11,155,812
Winthrop,-,1,"1,055",17,292,"1,364"
Winthrop,-,2,972,14,274,"1,260"
Winthrop,-,3,"1,032",27,233,"1,292"
Winthrop,-,4,889,23,230,"1,142"
Winthrop,-,5,"1,105",19,262,"1,386"
Winthrop,-,6,"1,001",21,237,"1,259"
TOTALS,,,"10,392",214,"2,563","13,169"
