City/Town,Ward,Pct,"John P. Barrett, III","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Adams,-,1,469,0,79,548
Adams,-,2,543,2,109,654
Adams,-,3,543,10,107,660
Adams,-,4,483,2,89,574
Adams,-,5,634,3,118,755
Cheshire,-,1,"1,174",25,313,"1,512"
Clarksburg,-,1,574,0,141,715
Florida,-,1,246,2,77,325
Hancock,-,1,270,1,87,358
Lanesborough,-,1,"1,040",26,372,"1,438"
"New Ashford",-,1,101,0,24,125
"N. Adams",1,1,763,14,187,964
"N. Adams",2,2,647,3,158,808
"N. Adams",3,3,587,12,101,700
"N. Adams",4,4,824,13,176,"1,013"
"N. Adams",5,5,696,9,159,864
Williamstown,-,1,"1,099",22,247,"1,368"
Williamstown,-,2,454,8,66,528
Williamstown,-,3,"1,062",24,222,"1,308"
TOTALS,,,"12,209",176,"2,832","15,217"
