City/Town,Ward,Pct,"James M. Kelcourse","Jennifer A. Rocco-Runnion","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Amesbury,-,1,826,630,1,24,"1,481"
Amesbury,-,2,665,611,0,26,"1,302"
Amesbury,-,3,694,635,0,25,"1,354"
Amesbury,-,4,570,473,1,34,"1,078"
Amesbury,-,5,909,492,3,25,"1,429"
Amesbury,-,6,569,588,0,25,"1,182"
Newburyport,1,1,529,800,0,35,"1,364"
Newburyport,2,1,613,"1,086",0,32,"1,731"
Newburyport,3,1,701,936,0,46,"1,683"
Newburyport,4,1,862,"1,029",0,46,"1,937"
Newburyport,5,1,877,600,0,41,"1,518"
Newburyport,6,1,869,714,0,42,"1,625"
Newburyport,1,P,220,203,0,16,439
Salisbury,-,1,849,588,0,31,"1,468"
Salisbury,-,2,830,476,0,31,"1,337"
Salisbury,-,3,801,358,0,28,"1,187"
TOTALS,,,"11,384","10,219",5,507,"22,115"
