City/Town,Ward,Pct,"Natalie M. Blais","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashfield,-,1,918,2,131,"1,051"
Buckland,-,1,830,5,141,976
Chester,-,1,363,3,209,575
Chesterfield,-,1,508,4,145,657
Conway,-,1,949,3,164,"1,116"
Cummington,-,1,398,4,83,485
Deerfield,-,1,"2,212",17,424,"2,653"
Goshen,-,1,435,1,113,549
Huntington,-,1,631,4,317,952
Leverett,-,1,"1,017",2,129,"1,148"
Middlefield,-,1,205,0,56,261
Montague,-,1,774,3,105,882
Montague,-,2,503,3,114,620
Montague,-,3,479,2,108,589
Montague,-,4,551,1,101,653
Montague,-,5,376,1,56,433
Montague,-,6,446,93,0,539
Plainfield,-,1,304,1,73,378
Shelburne,-,1,870,6,146,"1,022"
Shutesbury,-,1,"1,019",1,127,"1,147"
Sunderland,-,1,"1,350",21,227,"1,598"
Whately,-,1,728,0,169,897
Williamsburg,-,1,"1,308",4,245,"1,557"
Worthington,-,1,542,6,139,687
TOTALS,,,"17,716",187,"3,522","21,425"
