City/Town,Ward,Pct,"Todd M. Smola","Tanya V. Neslusan","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Brimfield,-,1,"1,233",545,1,33,"1,812"
Holland,-,1,712,406,1,32,"1,151"
Palmer,-,1,812,319,0,15,"1,146"
Palmer,-,1A,114,35,1,5,155
Palmer,-,2,947,314,0,30,"1,291"
Palmer,-,3,659,342,1,15,"1,017"
Palmer,-,4,803,276,1,24,"1,104"
Sturbridge,-,1,823,678,0,30,"1,531"
Sturbridge,-,2,997,656,0,31,"1,684"
Sturbridge,-,3,808,593,1,37,"1,439"
Wales,-,1,534,249,2,23,808
Ware,-,B,768,270,0,32,"1,070"
Ware,-,C,"1,028",411,0,55,"1,494"
Warren,-,A,969,380,0,44,"1,393"
Warren,-,B,342,139,0,8,489
TOTALS,,,"11,549","5,613",8,414,"17,584"
