City/Town,Ward,Pct,"Bruce J. Ayers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Quincy,3,4,"1,074",15,232,"1,321"
Quincy,3,5,611,6,110,727
Quincy,4,1,957,18,172,"1,147"
Quincy,4,3,"1,128",13,265,"1,406"
Quincy,5,2,860,9,166,"1,035"
Quincy,6,1,833,13,140,986
Quincy,6,2,632,10,122,764
Quincy,6,3,"1,176",23,286,"1,485"
Quincy,6,4,776,9,148,933
Quincy,6,5,"1,531",14,231,"1,776"
Randolph,-,5,735,9,177,921
Randolph,-,6,752,8,146,906
Randolph,-,11,848,12,209,"1,069"
Randolph,-,12,902,14,208,"1,124"
TOTALS,,,"12,815",173,"2,612","15,600"
