City/Town,Ward,Pct,"Kimberly N. Ferguson","Matthew O. Moncreaff","All Others",Blanks,"Total Votes Cast"
,,,Republican,Green-rainbow
Holden,-,1,"1,370",360,1,137,"1,868"
Holden,-,2,"1,390",414,4,154,"1,962"
Holden,-,3,"1,291",336,0,143,"1,770"
Holden,-,4,"1,546",379,2,179,"2,106"
Holden,-,5,"1,473",380,4,186,"2,043"
Paxton,-,1,"1,609",490,0,209,"2,308"
Princeton,-,1,"1,286",601,3,170,"2,060"
Rutland,-,1,"1,031",258,1,94,"1,384"
Rutland,-,2,"1,083",240,3,95,"1,421"
Rutland,-,3,"1,004",214,5,96,"1,319"
Sterling,-,1,"1,445",443,1,188,"2,077"
Westminster,-,2,"1,371",398,2,193,"1,964"
TOTALS,,,"15,899","4,513",26,"1,844","22,282"
