City/Town,Ward,Pct,"Sean Garballey","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Arlington,-,1,726,4,109,839
Arlington,-,3,"1,103",4,120,"1,227"
Arlington,-,5,964,5,147,"1,116"
Arlington,-,6,963,1,153,"1,117"
Arlington,-,7,898,2,137,"1,037"
Arlington,-,9,938,6,153,"1,097"
Arlington,-,11,"1,052",4,204,"1,260"
Arlington,-,13,949,12,214,"1,175"
Arlington,-,14,937,2,169,"1,108"
Arlington,-,15,"1,050",2,175,"1,227"
Arlington,-,16,961,1,177,"1,139"
Arlington,-,17,883,4,146,"1,033"
Arlington,-,18,"1,002",3,256,"1,261"
Arlington,-,19,"1,025",0,177,"1,202"
Arlington,-,20,978,2,161,"1,141"
Arlington,-,21,998,2,154,"1,154"
Medford,3,2,"1,438",23,497,"1,958"
Medford,6,1,"1,677",22,334,"2,033"
Medford,6,2,"1,384",24,352,"1,760"
TOTALS,,,"19,926",123,"3,835","23,884"
