City/Town,Ward,Pct,"William L. Crocker, Jr.","Paul J. Cusack","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Barnstable,-,2,"1,044",830,0,34,"1,908"
Barnstable,-,3,619,690,2,38,"1,349"
Barnstable,-,4,900,847,3,28,"1,778"
Barnstable,-,5,"1,100",901,0,29,"2,030"
Barnstable,-,6,"1,015",852,1,34,"1,902"
Barnstable,-,7,"1,079","1,059",5,42,"2,185"
Barnstable,-,8,565,626,1,27,"1,219"
Barnstable,-,9,338,422,1,19,780
Barnstable,-,10,928,712,0,38,"1,678"
Barnstable,-,13,586,697,1,27,"1,311"
Yarmouth,-,5,771,679,2,34,"1,486"
Yarmouth,-,6,808,673,2,33,"1,516"
TOTALS,,,"9,753","8,988",18,383,"19,142"
