City/Town,Ward,Pct,"Paul W. Mark","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Bernardston,-,1,849,6,197,"1,052"
Charlemont,-,1,461,0,132,593
Colrain,-,1,612,0,140,752
Dalton,-,1,"1,169",13,295,"1,477"
Dalton,-,2,"1,184",14,261,"1,459"
Greenfield,-,1,638,1,170,809
Greenfield,-,2,844,0,214,"1,058"
Greenfield,-,3,723,0,151,874
Greenfield,-,4,791,0,163,954
Greenfield,-,5,760,0,132,892
Greenfield,-,6,749,0,133,882
Greenfield,-,7,534,1,136,671
Greenfield,-,8,552,0,111,663
Greenfield,-,9,484,0,129,613
Hawley,-,1,141,0,31,172
Heath,-,1,275,0,96,371
Hinsdale,-,1,718,3,201,922
Leyden,-,1,356,0,77,433
Monroe,-,1,36,0,12,48
Northfield,-,1,"1,226",12,270,"1,508"
Peru,-,1,325,0,106,431
Pittsfield,1,B,966,5,253,"1,224"
Rowe,-,1,147,0,49,196
Savoy,-,1,207,1,95,303
Windsor,-,1,336,0,121,457
TOTALS,,,"15,083",56,"3,675","18,814"
