City/Town,Ward,Pct,"Susannah M. Whipps","John William Arena","All Others",Blanks,"Total Votes Cast"
,,,Unenrolled,Democratic
Athol,-,1,"1,105",258,9,42,"1,414"
Athol,-,2,969,254,5,37,"1,265"
Athol,-,3,906,272,4,54,"1,236"
Belchertown,-,A,876,691,13,188,"1,768"
Erving,-,1,385,227,3,36,651
Gill,-,1,316,435,2,44,797
"New Salem",-,1,328,176,0,31,535
Orange,-,1,941,326,4,58,"1,329"
Orange,-,2,877,396,0,63,"1,336"
Petersham,-,1,489,205,0,40,734
Phillipston,-,1,644,166,0,34,844
Royalston,-,1,227,87,1,16,331
Royalston,-,2,159,53,1,20,233
Templeton,-,A,847,280,3,55,"1,185"
Templeton,-,B,755,258,4,71,"1,088"
Templeton,-,C,660,242,1,42,945
Warwick,-,1,258,137,0,23,418
Wendell,-,1,284,200,0,25,509
TOTALS,,,"11,026","4,663",50,879,"16,618"
