City/Town,Ward,Pct,"Daniel R. Carey","Donald Peltier","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Easthampton,-,1,"1,293",232,1,48,"1,574"
Easthampton,-,2,"1,491",187,3,70,"1,751"
Easthampton,-,3,"1,310",215,6,56,"1,587"
Easthampton,-,4,"1,623",221,2,45,"1,891"
Easthampton,-,5,"1,304",437,1,62,"1,804"
Granby,-,2,656,668,3,104,"1,431"
Hadley,-,1,"2,031",611,9,130,"2,781"
"S. Hadley",-,A,"1,011",493,4,65,"1,573"
"S. Hadley",-,B,"1,134",526,4,89,"1,753"
"S. Hadley",-,C,994,607,5,74,"1,680"
"S. Hadley",-,D,753,274,4,40,"1,071"
"S. Hadley",-,E,"1,062",602,3,93,"1,760"
TOTALS,,,"14,662","5,073",45,876,"20,656"
