City/Town,Ward,Pct,"Tackey Chan","William Burke","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Quincy,1,1,710,322,3,51,"1,086"
Quincy,1,2,583,217,0,28,828
Quincy,1,3,877,270,4,56,"1,207"
Quincy,1,4,992,489,2,75,"1,558"
Quincy,1,5,"1,071",484,3,73,"1,631"
Quincy,3,1,950,401,1,69,"1,421"
Quincy,3,2,782,320,2,48,"1,152"
Quincy,4,2,859,461,3,54,"1,377"
Quincy,4,4,672,203,3,32,910
Quincy,5,1,767,253,2,53,"1,075"
Quincy,5,3,896,345,2,59,"1,302"
Quincy,5,4,803,363,3,60,"1,229"
Quincy,5,5,729,300,1,51,"1,081"
TOTALS,,,"10,691","4,428",29,709,"15,857"
