City/Town,Ward,Pct,"Susan Williams Gifford","Sarah G. Hewins","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Carver,-,1,867,737,1,44,"1,649"
Carver,-,2,797,752,0,35,"1,584"
Carver,-,3,921,878,0,37,"1,836"
Middleborough,-,3,"1,055",664,0,98,"1,817"
Middleborough,-,6,883,570,0,74,"1,527"
Wareham,-,1,842,640,2,59,"1,543"
Wareham,-,2,797,745,1,61,"1,604"
Wareham,-,3,899,697,1,55,"1,652"
Wareham,-,4,900,580,2,51,"1,533"
Wareham,-,5,"1,023",647,1,55,"1,726"
Wareham,-,6,829,575,1,40,"1,445"
TOTALS,,,"9,813","7,485",9,609,"17,916"
