City/Town,Ward,Pct,"Daniel Joseph Ryan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,2,1,"1,132",32,294,"1,458"
Boston,2,2,"1,306",20,299,"1,625"
Boston,2,3,831,11,205,"1,047"
Boston,2,4,747,16,138,901
Boston,2,5,908,19,189,"1,116"
Boston,2,6,"1,047",11,224,"1,282"
Boston,2,7,875,17,187,"1,079"
Chelsea,1,1,310,0,64,374
Chelsea,1,2,176,0,38,214
Chelsea,1,3,248,0,55,303
Chelsea,1,4,253,0,38,291
Chelsea,2,1,727,0,226,953
Chelsea,2,2,435,0,93,528
Chelsea,2,3,170,0,35,205
Chelsea,2,4,267,0,73,340
Chelsea,3,1,261,0,65,326
Chelsea,3,3,153,0,234,387
Chelsea,4,1,357,0,82,439
Chelsea,4,4,285,0,92,377
TOTALS,,,"10,488",126,"2,631","13,245"
