City/Town,Ward,Pct,"Richard M. Haggerty","Claire M. Malaguti","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Reading,-,2,997,461,0,104,"1,562"
Reading,-,3,"1,151",675,0,178,"2,004"
Reading,-,4,992,519,5,171,"1,687"
Reading,-,5,"1,010",428,6,142,"1,586"
Woburn,2,1,856,271,0,64,"1,191"
Woburn,2,2,628,180,1,51,860
Woburn,3,1,731,336,1,66,"1,134"
Woburn,3,2,"1,028",418,2,73,"1,521"
Woburn,4,1,975,372,0,89,"1,436"
Woburn,4,2,762,278,6,47,"1,093"
Woburn,5,1,903,354,0,68,"1,325"
Woburn,5,2,863,397,0,81,"1,341"
Woburn,6,1,483,198,0,34,715
Woburn,6,2,801,357,1,60,"1,219"
TOTALS,,,"12,180","5,244",22,"1,228","18,674"
