City/Town,Ward,Pct,"Paul A. Brodeur","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Malden,5,2,"1,176",13,375,"1,564"
Melrose,1,1,861,17,230,"1,108"
Melrose,1,2,843,12,207,"1,062"
Melrose,2,1,880,13,283,"1,176"
Melrose,2,2,784,13,225,"1,022"
Melrose,3,1,826,16,190,"1,032"
Melrose,3,2,774,10,184,968
Melrose,4,1,751,18,201,970
Melrose,4,2,847,23,316,"1,186"
Melrose,5,1,900,16,167,"1,083"
Melrose,5,2,791,22,149,962
Melrose,6,1,755,13,167,935
Melrose,6,2,808,11,281,"1,100"
Melrose,7,1,795,13,197,"1,005"
Melrose,7,2,814,26,248,"1,088"
Wakefield,-,4,"1,252",33,492,"1,777"
Wakefield,-,5,"1,373",22,564,"1,959"
Wakefield,-,6,"1,376",27,511,"1,914"
TOTALS,,,"16,606",318,"4,987","21,911"
