City/Town,Ward,Pct,"Colleen M. Garry","Raymond G. Leczynski","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Dracut,-,1,779,445,0,40,"1,264"
Dracut,-,2,756,359,0,35,"1,150"
Dracut,-,3,953,463,0,51,"1,467"
Dracut,-,4,950,758,0,54,"1,762"
Dracut,-,5,848,554,0,48,"1,450"
Dracut,-,6,870,430,0,46,"1,346"
Dracut,-,6A,41,19,0,2,62
Dracut,-,7,822,427,0,47,"1,296"
Dracut,-,8,"1,140",795,0,52,"1,987"
Dracut,-,9,885,537,0,70,"1,492"
Tyngsborough,-,1,812,444,0,47,"1,303"
Tyngsborough,-,2,796,473,0,62,"1,331"
Tyngsborough,-,3,859,441,0,69,"1,369"
Tyngsborough,-,4,916,506,0,64,"1,486"
TOTALS,,,"11,427","6,651",0,687,"18,765"
