City/Town,Ward,Pct,"Shaunna L. O'Connell","Emily Jm Farrer","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Easton,-,6,"1,028",733,0,121,"1,882"
Taunton,1,A,517,379,1,53,950
Taunton,1,B,857,421,1,55,"1,334"
Taunton,2,A,294,288,0,18,600
Taunton,2,B,418,370,2,31,821
Taunton,3,A,578,417,0,53,"1,048"
Taunton,5,A,505,351,1,44,901
Taunton,5,B,430,405,1,33,869
Taunton,7,A,860,460,1,67,"1,388"
Taunton,7,B,983,428,2,48,"1,461"
Taunton,8,A,867,468,0,67,"1,402"
Taunton,8,B,997,495,1,70,"1,563"
TOTALS,,,"8,334","5,215",10,660,"14,219"
