City/Town,Ward,Pct,"Ronald Mariano","Stephen F. Tougas","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Holbrook,-,2,689,426,1,89,"1,205"
Holbrook,-,3,696,354,2,77,"1,129"
Holbrook,-,4,678,330,2,72,"1,082"
Quincy,2,1,738,301,2,64,"1,105"
Quincy,2,2,676,232,0,44,952
Quincy,2,3,308,106,0,36,450
Quincy,2,3A,172,76,0,23,271
Quincy,2,4,659,201,2,43,905
Quincy,2,5,843,270,4,75,"1,192"
Quincy,4,5,723,274,2,49,"1,048"
Weymouth,-,5,746,292,3,59,"1,100"
Weymouth,-,6,994,451,0,77,"1,522"
Weymouth,-,9,950,504,0,84,"1,538"
Weymouth,-,12,861,509,3,100,"1,473"
Weymouth,-,16,993,531,1,125,"1,650"
TOTALS,,,"10,726","4,857",22,"1,017","16,622"
