City/Town,Ward,Pct,"Joan Meschino","Kristen G. Arute","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Cohasset,-,1,"1,111",938,1,67,"2,117"
Cohasset,-,2,"1,267","1,011",0,71,"2,349"
Hingham,-,1,"1,013",832,0,62,"1,907"
Hingham,-,3,"1,141",879,2,68,"2,090"
Hingham,-,4,"1,070",860,2,75,"2,007"
Hingham,-,5,681,733,0,43,"1,457"
Hingham,-,5A,644,307,0,56,"1,007"
Hingham,-,6,981,923,2,76,"1,982"
Hull,-,1,"1,168",641,3,46,"1,858"
Hull,-,2,934,615,1,45,"1,595"
Hull,-,3,"1,220",752,3,54,"2,029"
Scituate,-,3,979,707,3,64,"1,753"
TOTALS,,,"12,209","9,198",17,727,"22,151"
