City/Town,Ward,Pct,"James Michael Murphy","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Hingham,-,2,"1,533",27,587,"2,147"
Weymouth,-,1,"1,012",17,298,"1,327"
Weymouth,-,2,"1,115",19,414,"1,548"
Weymouth,-,3,"1,177",15,358,"1,550"
Weymouth,-,4,"1,064",13,330,"1,407"
Weymouth,-,7,971,12,291,"1,274"
Weymouth,-,8,"1,082",15,307,"1,404"
Weymouth,-,10,771,9,211,991
Weymouth,-,11,999,17,328,"1,344"
Weymouth,-,13,729,11,222,962
Weymouth,-,14,910,15,234,"1,159"
Weymouth,-,15,"1,138",11,369,"1,518"
Weymouth,-,17,820,20,244,"1,084"
Weymouth,-,18,"1,426",29,575,"2,030"
TOTALS,,,"14,747",230,"4,768","19,745"
