City/Town,Ward,Pct,"Patrick Joseph Kearney","Edward J. O'Connell","Nathaniel K. Powell","Joseph M. Armstrong","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled,Unenrolled
Marshfield,-,1,965,634,240,36,0,38,"1,913"
Marshfield,-,2,979,717,210,45,0,50,"2,001"
Marshfield,-,3,948,598,249,36,0,44,"1,875"
Marshfield,-,4,912,683,121,26,0,61,"1,803"
Marshfield,-,5,816,568,187,36,0,61,"1,668"
Marshfield,-,6,"1,061",785,201,35,0,85,"2,167"
Marshfield,-,7,960,766,194,38,0,47,"2,005"
Scituate,-,1,"1,165",553,27,21,1,67,"1,834"
Scituate,-,2,"1,118",562,37,31,0,61,"1,809"
Scituate,-,4,"1,111",605,35,27,0,61,"1,839"
Scituate,-,5,"1,152",439,31,26,0,68,"1,716"
Scituate,-,6,"1,166",430,37,26,2,48,"1,709"
TOTALS,,,"12,353","7,340","1,569",383,3,691,"22,339"
