City/Town,Ward,Pct,"Natalie Higgins","Richard E. Palmieri","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Leominster,1,A,705,597,0,43,"1,345"
Leominster,1,B,662,532,1,46,"1,241"
Leominster,1,C,547,352,0,31,930
Leominster,2,A,417,208,0,21,646
Leominster,2,B,531,397,1,16,945
Leominster,2,C,296,208,1,14,519
Leominster,3,A,465,352,0,18,835
Leominster,3,B,670,551,1,47,"1,269"
Leominster,3,C,705,630,1,39,"1,375"
Leominster,4,A,688,634,0,30,"1,352"
Leominster,4,B,656,607,1,36,"1,300"
Leominster,4,C,474,357,0,19,850
Leominster,5,A,528,357,0,25,910
Leominster,5,B,653,516,0,58,"1,227"
Leominster,5,C,483,292,0,26,801
TOTALS,,,"8,480","6,590",6,469,"15,545"
