City/Town,Ward,Pct,"Aaron Vega","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Holyoke,1,A,454,0,48,502
Holyoke,1,B,526,1,56,583
Holyoke,2,A,442,0,83,525
Holyoke,2,B,393,0,53,446
Holyoke,3,A,771,2,151,924
Holyoke,3,B,959,0,250,"1,209"
Holyoke,4,A,385,0,62,447
Holyoke,4,B,663,3,97,763
Holyoke,5,A,"1,128",6,421,"1,555"
Holyoke,5,B,762,6,184,952
Holyoke,6,A,629,6,119,754
Holyoke,6,B,874,3,157,"1,034"
Holyoke,7,A,"1,167",7,319,"1,493"
Holyoke,7,B,"1,046",4,214,"1,264"
TOTALS,,,"10,199",38,"2,214","12,451"
