City/Town,Ward,Pct,"David Paul Linsky","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Millis,-,2,"1,019",12,428,"1,459"
Millis,-,3,"1,072",5,394,"1,471"
Natick,-,1,880,0,184,"1,064"
Natick,-,2,"1,427",0,414,"1,841"
Natick,-,3,"1,395",9,402,"1,806"
Natick,-,4,"1,281",5,346,"1,632"
Natick,-,5,"1,351",0,412,"1,763"
Natick,-,6,"1,298",4,385,"1,687"
Natick,-,7,"1,476",13,336,"1,825"
Natick,-,8,"1,414",6,404,"1,824"
Natick,-,9,"1,391",7,357,"1,755"
Natick,-,10,"1,657",9,486,"2,152"
Sherborn,-,1,"1,863",12,537,"2,412"
TOTALS,,,"17,524",82,"5,085","22,691"
