City/Town,Ward,Pct,"Liz Miranda","Althea Garrison","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Boston,7,10,467,50,2,38,557
Boston,8,5,528,66,1,37,632
Boston,8,6,190,23,1,14,228
Boston,8,7,344,52,0,25,421
Boston,12,6,387,50,0,26,463
Boston,13,1,508,68,4,47,627
Boston,13,2,201,34,1,8,244
Boston,13,4,396,47,1,25,469
Boston,13,5,422,69,2,42,535
Boston,14,1,843,87,2,58,990
Boston,15,1,538,78,1,40,657
Boston,15,2,352,39,4,27,422
Boston,15,3,242,27,2,20,291
Boston,15,4,734,87,4,66,891
Boston,15,5,474,38,2,29,543
Boston,15,7,421,36,1,32,490
Boston,15,8,340,52,2,53,447
Boston,15,9,364,46,2,72,484
Boston,17,1,426,57,1,37,521
Boston,17,2,350,47,0,26,423
TOTALS,,,"8,527","1,053",33,722,"10,335"
