City/Town,Ward,Pct,"Jerald A. Parisella","Donato H. Paglia","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Beverly,1,1,"1,069",243,1,139,"1,452"
Beverly,1,2,"1,263",217,0,169,"1,649"
Beverly,2,1,"1,188",163,1,138,"1,490"
Beverly,2,2,"1,318",215,1,166,"1,700"
Beverly,3,1,983,163,1,98,"1,245"
Beverly,3,2,"1,094",215,1,124,"1,434"
Beverly,4,1,859,109,1,97,"1,066"
Beverly,4,2,"1,613",223,1,157,"1,994"
Beverly,5,1,"1,251",207,1,158,"1,617"
Beverly,5,2,"1,235",218,0,188,"1,641"
Beverly,6,1,"1,321",254,1,229,"1,805"
Beverly,6,2,"1,421",273,0,186,"1,880"
TOTALS,,,"14,615","2,500",9,"1,849","18,973"
