City/Town,Ward,Pct,"Paul F. Tucker","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Salem,1,1,"1,372",8,276,"1,656"
Salem,1,2,629,3,74,706
Salem,2,1,"1,351",10,201,"1,562"
Salem,2,2,"1,516",10,202,"1,728"
Salem,3,1,"1,003",0,175,"1,178"
Salem,3,2,998,11,210,"1,219"
Salem,4,1,"1,087",4,220,"1,311"
Salem,4,2,"1,134",12,239,"1,385"
Salem,5,1,"1,193",5,196,"1,394"
Salem,5,2,"1,045",4,123,"1,172"
Salem,6,1,"1,282",2,209,"1,493"
Salem,6,2,"1,154",9,193,"1,356"
Salem,7,1,"1,262",3,209,"1,474"
Salem,7,2,"1,071",22,234,"1,327"
TOTALS,,,"16,097",103,"2,761","18,961"
