City/Town,Ward,Pct,"Thomas M. Petrolati","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Belchertown,-,B,"1,303",5,415,"1,723"
Belchertown,-,C,"1,386",6,463,"1,855"
Belchertown,-,D,"1,390",13,365,"1,768"
Chicopee,6,BE,833,36,293,"1,162"
Chicopee,6,BW,172,8,63,243
Ludlow,-,1,"1,097",27,323,"1,447"
Ludlow,-,2,749,15,193,957
Ludlow,-,3,"1,185",38,387,"1,610"
Ludlow,-,4,"1,071",22,315,"1,408"
Ludlow,-,5,812,17,279,"1,108"
Ludlow,-,6,"1,201",27,434,"1,662"
Springfield,8,E,329,13,59,401
Springfield,8,F,551,10,105,666
Springfield,8,G,589,19,134,742
TOTALS,,,"12,668",256,"3,828","16,752"
