City/Town,Ward,Pct,"Carolyn C. Dykema","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Holliston,-,1,"1,641",29,432,"2,102"
Holliston,-,2,"1,545",18,397,"1,960"
Holliston,-,3,"1,416",24,353,"1,793"
Holliston,-,4,"1,348",24,368,"1,740"
Hopkinton,-,1,"1,763",6,449,"2,218"
Hopkinton,-,2,"1,483",5,464,"1,952"
Hopkinton,-,3,"1,469",7,464,"1,940"
Hopkinton,-,4,"1,476",1,424,"1,901"
Southborough,-,1,"1,343",24,423,"1,790"
Southborough,-,2,"1,242",23,394,"1,659"
Southborough,-,3,"1,313",37,380,"1,730"
Westborough,-,2,914,14,230,"1,158"
TOTALS,,,"16,953",212,"4,778","21,943"
