City/Town,Ward,Pct,"Louis L. Kafka","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Mansfield,-,4,"1,270",0,514,"1,784"
Sharon,-,1,"1,484",20,329,"1,833"
Sharon,-,2,"1,318",19,348,"1,685"
Sharon,-,3,"1,461",29,376,"1,866"
Sharon,-,4,"1,440",14,328,"1,782"
Sharon,-,5,"1,267",23,337,"1,627"
Stoughton,-,2,"1,020",0,385,"1,405"
Stoughton,-,3,"1,104",8,383,"1,495"
Stoughton,-,4,"1,205",8,551,"1,764"
Stoughton,-,6,991,1,359,"1,351"
Walpole,-,3,"1,125",4,521,"1,650"
Walpole,-,4,"1,049",9,405,"1,463"
TOTALS,,,"14,734",135,"4,836","19,705"
