City/Town,Ward,Pct,"Donald H. Wong","Matthew Crescenzo","Michael Coller","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,Unenrolled
Lynn,1,1,874,518,61,2,114,"1,569"
Lynn,1,2,822,626,92,0,108,"1,648"
Saugus,-,1,659,328,55,0,34,"1,076"
Saugus,-,2,635,331,34,0,37,"1,037"
Saugus,-,4,606,317,34,0,37,994
Saugus,-,5,884,355,45,0,33,"1,317"
Saugus,-,6,731,312,42,0,30,"1,115"
Saugus,-,7,841,319,55,0,43,"1,258"
Saugus,-,8,715,352,51,0,55,"1,173"
Saugus,-,9,818,369,29,0,49,"1,265"
Wakefield,-,1,"1,174",656,60,0,105,"1,995"
Wakefield,-,2,835,617,50,4,90,"1,596"
Wakefield,-,3,973,667,70,2,99,"1,811"
Wakefield,-,7,"1,080",606,52,0,113,"1,851"
TOTALS,,,"11,647","6,373",730,8,947,"19,705"
