City/Town,Ward,Pct,"Eric P. Lesser","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Belchertown,-,A,"1,371",6,391,"1,768"
Belchertown,-,B,"1,317",9,397,"1,723"
Belchertown,-,C,"1,411",6,438,"1,855"
Belchertown,-,D,"1,447",8,313,"1,768"
Chicopee,1,A,856,29,210,"1,095"
Chicopee,1,B,"1,118",33,255,"1,406"
Chicopee,5,A,817,18,190,"1,025"
Chicopee,5,B,799,22,167,988
Chicopee,6,AN,237,11,53,301
Chicopee,6,AS,498,17,154,669
Chicopee,6,BE,839,45,278,"1,162"
Chicopee,6,BW,183,5,55,243
Chicopee,8,B,770,18,198,986
Chicopee,9,B,"1,106",41,275,"1,422"
"E. Longmeadow",-,1,"1,357",43,489,"1,889"
"E. Longmeadow",-,2,"1,269",41,454,"1,764"
"E. Longmeadow",-,3,"1,362",48,500,"1,910"
"E. Longmeadow",-,4,"1,341",50,623,"2,014"
Granby,-,1,"1,230",2,426,"1,658"
Granby,-,2,990,3,438,"1,431"
Hampden,-,1,"1,745",9,774,"2,528"
Longmeadow,-,A,"1,327",35,327,"1,689"
Longmeadow,-,B,"1,244",26,268,"1,538"
Longmeadow,-,C,"1,300",30,405,"1,735"
Longmeadow,-,D,"1,296",27,369,"1,692"
Longmeadow,-,E,"1,217",21,279,"1,517"
Ludlow,-,1,"1,084",29,334,"1,447"
Ludlow,-,2,712,18,227,957
Ludlow,-,3,"1,130",46,434,"1,610"
Ludlow,-,4,"1,008",25,375,"1,408"
Ludlow,-,5,788,19,301,"1,108"
Ludlow,-,6,"1,189",26,447,"1,662"
Springfield,2,G,696,18,123,837
Springfield,4,F,150,3,15,168
Springfield,5,D,721,15,178,914
Springfield,5,F,705,9,127,841
Springfield,5,G,796,26,191,"1,013"
Springfield,5,H,632,18,126,776
Springfield,6,B,652,12,129,793
Springfield,6,D,766,33,161,960
Springfield,6,H,735,14,104,853
Springfield,7,A,683,17,153,853
Springfield,7,B,902,24,183,"1,109"
Springfield,7,C,799,32,216,"1,047"
Springfield,7,D,722,12,185,919
Springfield,7,E,515,11,81,607
Springfield,7,F,818,14,191,"1,023"
Springfield,7,G,856,28,218,"1,102"
Springfield,7,H,409,9,77,495
Springfield,8,A,536,17,101,654
Wilbraham,-,A,"1,296",5,477,"1,778"
Wilbraham,-,B,"1,307",8,418,"1,733"
Wilbraham,-,C,"1,203",11,499,"1,713"
Wilbraham,-,D,"1,376",17,490,"1,883"
TOTALS,,,"51,633","1,119","15,287","68,039"
